220302.699604116,5201187.75628205
220303.874034888,5200998.75025986
220282.443181822,5200593.97753514
220257.689341825,5200113.10496763
215274.899298304,5197343.08742669
215272.042335606,5196348.2647579
216558.432535958,5194721.98493608
217086.76994246,5199708.80717928
219155.695630534,5199625.89528511
219338.425543366,5199619.52074237
219782.362766382,5199599.6481993
215481.328312363,5198003.58127807
215507.971680834,5198000.99175514
215675.410225669,5197992.40678598
215863.18380065,5197981.03943674
215891.812349266,5197979.4130077
216201.114475899,5197982.75216299
216393.8193144,5197971.72823084
216571.86103735,5197962.83765863
216654.244217545,5197957.89677897
216657.238998337,5197957.73339245
217626.215486982,5197908.28699477
219924.505460417,5192982.0725991
218520.286655924,5197541.64366097
217174.873180616,5197660.50839259
218520.286655924,5197541.64366097
215324.711840736,5198297.27903934
213710.599183334,5201795.45011064
213750.650073132,5201822.47798302
213746.798211113,5201836.61998518
213730.450763708,5201871.51973093
213719.086362014,5201882.41934507
213707.532882963,5201913.91170719
213592.262851831,5201969.46149371
213525.311575318,5202066.21239554
213432.829970153,5202198.60853427
218520.286655924,5197541.64366097
215324.711840736,5198297.27903934
213710.599183334,5201795.45011064
213750.650073132,5201822.47798302
213746.798211113,5201836.61998518
213730.450763708,5201871.51973093
213719.086362014,5201882.41934507
213707.532882963,5201913.91170719
213592.262851831,5201969.46149371
213525.311575318,5202066.21239554
213432.829970153,5202198.60853427
215032.994309088,5198994.64131275
213710.599183334,5201795.45011064
213750.650073132,5201822.47798302
213746.798211113,5201836.61998518
213730.450763708,5201871.51973093
213719.086362014,5201882.41934507
213707.532882963,5201913.91170719
213592.262851831,5201969.46149371
213525.311575318,5202066.21239554
213432.829970153,5202198.60853427
220191.632653231,5198369.4298996
