cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
631,506457,"673333266",5152,"cycleway",,,"B",0,1,"T","F",1,216310.990356936,5194964.2709165
632,331112,"143012141",5113,"primary","24th Avenue South","I 94 Business","F",0,0,"F","F",1,215808.80131073,5195535.97636405
633,684577,"892578631",5141,"service",,,"B",0,0,"F","F",1,230408.386448342,5131391.19269963
634,684577,"892578631",5141,"service",,,"B",0,0,"F","F",1,230555.726772228,5131384.45074286
635,520601,"705787495",5153,"footway",,,"B",0,0,"F","F",1,215576.715459604,5198601.29272449
636,871347,"1228654764",5122,"residential",,,"B",0,0,"F","F",1,218561.736925504,5198244.69945286
637,510273,"688744463",5153,"footway",,,"B",0,1,"T","F",1,216638.116730534,5198565.2186356
638,367995,"184470108",5114,"secondary","34 Street North",,"F",0,0,"F","F",1,216139.173906629,5198584.11496685
639,590977,"772233086",5113,"primary",,"US 10","F",0,0,"F","F",1,215318.222928915,5198182.5111889
640,66267,"18047372",5122,"residential","110th Street North",,"B",0,0,"F","F",1,229057.701974764,5210385.67747977
641,305150,"105107455",5113,"primary","34th Street South",,"F",0,1,"T","F",1,216335.045225959,5194963.15076062
642,305343,"106332562",5131,"motorway_link",,"I 94 Business","F",0,0,"F","F",1,216588.793783677,5194766.33725323
643,67008,"18048223",5122,"residential","4th Street Northeast",,"B",0,0,"F","F",1,218263.179589574,5198496.96198719
644,66474,"18047624",5115,"tertiary","40th Street North","CR 9","B",0,0,"F","F",1,216953.271383759,5198553.53387274
645,369825,"188375377",5111,"motorway",,"I 94","F",88,0,"F","F",1,216617.812154701,5194883.57044529
646,386002,"238810210",5122,"residential","3rd Avenue Northeast",,"B",0,0,"F","F",1,218567.016583839,5198343.02319794
647,67355,"18048630",5122,"residential","2nd Street Northwest",,"B",0,0,"F","F",1,217637.604207077,5198526.28617229
648,588681,"769792694",5111,"motorway",,"I 94","F",88,0,"F","F",1,216618.49789716,5194911.18010185
649,736651,"947044243",5115,"tertiary","7th Street Northeast",,"B",0,0,"F","F",1,218558.206294513,5198404.71645647
650,67091,"18048311",5122,"residential","2nd Street Northeast",,"B",0,0,"F","F",1,218060.251798802,5198506.73825203
651,67056,"18048274",5122,"residential","5th Street Northwest",,"B",0,0,"F","F",1,217287.151162885,5198541.40079594
652,66060,"18047118",5122,"residential","3rd Street Northeast",,"B",0,0,"F","F",1,218168.771666409,5198501.49916258
653,803362,"1092724108",5152,"cycleway",,,"B",0,0,"F","F",1,217840.238993403,5198516.80498466
654,64208,"18044979",5122,"residential","Main Street North",,"B",0,0,"F","F",1,217849.290462431,5198516.37681165
