root,chain
243,"[242, 243]"
244,"[244, 241]"
245,"[245, 144]"
246,"[246, 247]"
247,"[246, 247]"
248,[248]
249,[249]
250,"[250, 251]"
251,"[250, 251]"
252,"[252, 253]"
253,"[252, 253]"
254,"[177, 254, 255, 178]"
255,"[177, 254, 255, 178]"
256,"[124, 256]"
257,"[257, 258]"
258,"[257, 258]"
259,"[259, 260]"
260,"[259, 260]"
261,"[226, 261, 262]"
262,"[226, 261, 262]"
263,"[68, 263]"
