from_cat,cat,dist
22,88,3.1668526597777
25,56,5.13211258486409
56,197,3.16218943942399
60,25,1.40691079412127
81,56,1.53429399392205
88,197,2.9526353593118
89,25,1.57986486169663
127,60,5.53295440737571
141,189,0.657905575954781
141,198,1.22797551868742
189,88,3.69299236513514
198,60,1.41036571020657
