437959.104809399,4915639.48753555,25
449951.937286701,4923624.78464925,25
433849.985593643,4899036.0251232,25
437022.03922429,4900365.80966828,25
436963.907235536,4898763.41901026,25
436749.376149035,4897965.0519274,25
454916.615619028,4910935.22028945,25
455982.194499613,4911512.61289693,25
458193.233857195,4911993.6832729,25
442819.048518836,4914927.84800697,25
443644.666925742,4914454.68088623,25
443649.229230728,4913596.67551978,25
440425.379730849,4915476.43346435,25
440424.829993599,4915683.36391544,25
441232.635234385,4915819.40185754,25
448557.778228778,4918463.81393372,25
433968.831919777,4918446.10429241,25
435261.363305618,4919588.58888546,25
452187.66740372,4923860.30841105,25
451905.836735299,4922818.44364856,25
444867.606854433,4930094.47138737,25
445211.001421743,4929120.08943441,25
428953.293001946,4911741.62651085,25
429914.457406943,4911337.65503653,25
430482.087477263,4907868.51714135,25
427619.943100367,4903456.39809943,25
447004.687377699,4928115.4538185,25
427656.738898067,4902923.21603306,25
453843.572745348,4929261.17041614,25
450392.147117051,4930888.18874042,25
454783.882163502,4913166.59334348,25
454977.788036785,4913601.89984069,25
433895.740424516,4906752.0962825,25
454230.849895728,4919608.59799346,25
425084.617287562,4898885.93175473,25
426325.996807983,4898921.86539083,25
454272.760797137,4906163.28991363,25
437119.411813046,4907778.45522792,25
439567.453250155,4907266.45507292,25
440346.53608323,4907608.49964591,25
456505.924624101,4914763.4536037,25
442131.881895475,4925005.39959732,25
443664.721423113,4923857.55670853,25
442263.914948973,4898725.90247068,25
454133.248285975,4907869.92769541,25
455093.463259517,4907765.54468516,25
436874.747475454,4914839.46786235,25
437185.061998312,4914503.06365011,25
438774.186025068,4913714.95786222,25
455284.741665992,4916383.09344507,25
447471.950434226,4917192.49305604,25
442071.421874126,4917639.13854129,25
436914.64985041,4921309.51321044,25
437436.500709704,4922881.93083908,25
433298.308667343,4930950.45113812,25
442408.354785604,4928886.18777998,25
442157.465068094,4927679.35103652,25
446662.800492508,4919616.93106433,25
447603.665294015,4919710.36860374,25
452562.020110693,4912915.22075341,25
453370.484890486,4913724.43902076,25
441353.756641843,4901396.92889752,25
441603.229565032,4900771.50409019,25
441956.453749886,4900345.09207462,25
452077.152143137,4917378.66055803,25
441260.812918178,4919136.39237261,25
444108.727947848,4919649.91270546,25
443687.794941245,4917867.48364986,25
448336.485001523,4924440.78919399,25
434120.104691917,4929155.36987342,25
456558.418115422,4929944.82428488,25
456450.562151796,4929244.46920952,25
454238.640388482,4913170.26013838,25
454066.005868194,4914775.67139205,25
435415.789565419,4914855.36307837,25
454993.464942679,4915692.76453178,25
452960.473397713,4918416.29268887,25
453226.145415782,4922827.9043948,25
453098.279129797,4920897.24432263,25
454930.3779779,4903507.55181273,25
443582.345585164,4908134.70963721,25
445228.151866608,4906811.13043426,25
443981.289559834,4912816.05044627,25
444188.689695638,4912640.948182,25
451582.212155233,4926048.90509912,25
447244.566221623,4926869.01405387,25
447683.247544025,4927672.58718629,25
440549.274161355,4929701.44117792,25
437353.12595172,4931106.2839244,25
438959.136303632,4931102.777069,25
436238.181614293,4930168.52564047,25
453372.476215992,4923530.86680089,25
455534.14855784,4923931.77048102,25
455065.891517723,4923328.93154175,25
452588.577312838,4914982.04443936,25
440167.256751279,4916445.8850673,25
442677.606524524,4916387.20154897,25
443862.207298794,4916217.80590355,25
450174.899259896,4917322.11583988,25
456630.405640475,4918038.28313663,25
456109.980854161,4918226.32751837,25
443584.160564315,4901919.75714537,25
443279.261275407,4904593.92741293,25
445217.374472143,4921249.07786315,25
444967.620230861,4921855.14204928,25
435886.198220308,4906089.14273949,25
443598.053339158,4905311.25404115,25
448417.830283837,4901773.97306484,25
452095.388719482,4919608.70415217,25
453425.550041775,4919953.54459805,25
454213.340362751,4919608.68081946,25
456514.132617111,4921196.90824236,25
446781.364232485,4921863.06305212,25
426640.406817275,4898918.73990715,25
448755.888578473,4899797.75079921,25
446804.235039459,4900408.89776751,25
446808.764958854,4901607.46218441,25
454577.294962587,4905307.38925973,25
454867.738451413,4904049.4525358,25
443609.562609762,4907177.47335385,25
441434.623260012,4908650.95218091,25
442231.766426745,4907560.8808566,25
446066.899480469,4911195.33564058,25
440824.157525333,4912474.63696813,25
440807.401345288,4911891.89577507,25
440091.164187536,4912225.01898858,25
439610.557761022,4912813.58183819,25
457398.556318656,4914751.62823503,25
456595.590134829,4914362.10094645,25
457252.674669894,4914508.26839673,25
445521.144271299,4915593.56354208,25
447342.164258138,4914940.8712739,25
445526.028121325,4918201.25982944,25
445287.444683954,4917088.57439928,25
444946.532496542,4916610.90315572,25
448048.262822229,4919706.91583794,25
450223.118264859,4929240.88490626,25
435753.892268373,4932521.86736088,25
456887.28232164,4905049.0365367,25
431947.697183476,4905118.31131056,25
433878.476285676,4904668.64619302,25
432290.954234298,4905579.78030634,25
429586.325051019,4906286.06796962,25
427981.638949866,4904517.12436061,25
438429.830144764,4910970.92492587,25
446943.153610358,4917934.34871199,25
447583.969414239,4917192.54809278,25
436987.683537602,4926129.16851538,25
434006.431699447,4934156.898395,25
453409.118524346,4918008.01343623,25
457308.96591179,4919581.19328178,25
448182.620922496,4929148.44298653,25
442707.058895875,4904183.10404555,25
435740.231422343,4930598.43134882,25
427670.872598896,4904433.80824514,25
450354.067944121,4917840.74556297,25
446970.424575391,4922215.93785045,25
447587.334782022,4922845.41013069,25
442939.318988489,4928893.48198223,25
443748.420390465,4927702.89879023,25
443793.01280442,4927124.56952798,25
456019.357648865,4926023.32509489,25
455406.688354368,4924513.74661009,25
449586.999536636,4921208.96958364,25
450187.059465382,4923895.41077011,25
450187.728929873,4923896.14313568,25
450185.588366929,4920924.14393654,25
434315.562210579,4898784.2217488,25
454805.513055682,4910566.70270964,25
443115.974232097,4914819.20691484,25
448734.849205364,4924437.6409659,25
429043.601614634,4905830.015758,25
450228.113232488,4930671.65693148,25
