cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
141,368477,"186746549",5115,"tertiary","County Road 15","CR 15","B",0,0,"F","F",1,433878.476285676,4904668.64619302
142,138736,"18138172",5115,"tertiary","County Road 104","CR 104","B",0,0,"F","F",1,432290.954234298,4905579.78030634
143,358360,"169510078",5115,"tertiary","County Road 106","CR 106","B",0,0,"F","F",1,429586.325051019,4906286.06796962
144,137828,"18137090",5115,"tertiary","Dog Creek Road","CR 18","B",88,0,"F","F",1,427981.638949866,4904517.12436061
145,138812,"18138261",5122,"residential","County Road 114","CR 114","B",0,0,"F","F",1,438429.830144764,4910970.92492587
146,138249,"18137575",5122,"residential","201st Avenue","CR 158","B",0,0,"F","F",1,446943.153610358,4917934.34871199
147,137119,"18136175",5122,"residential","376th Street",,"B",0,0,"F","F",1,447583.969414239,4917192.54809278
148,368809,"188045032",5115,"tertiary","320th Street","CR 156","B",0,0,"F","F",1,436987.683537602,4926129.16851538
149,221799,"18237342",5122,"residential","270th Street West",,"B",0,0,"F","F",1,434006.431699447,4934156.898395
150,137107,"18136162",5122,"residential","161st Avenue","CR 140","B",0,0,"F","F",1,453409.118524346,4918008.01343623
151,138369,"18137740",5114,"secondary","State Highway 21","MN 21","B",96,0,"F","F",1,457308.96591179,4919581.19328178
152,138861,"18138330",5122,"residential","300th Street","CR 122","B",0,0,"F","F",1,448182.620922496,4929148.44298653
153,137747,"18136977",5115,"tertiary","County Road 11","CR 11","B",0,0,"F","F",1,442707.058895875,4904183.10404555
154,368810,"188045033",5122,"residential","271st Avenue","CR 118","B",0,0,"F","F",1,435740.231422343,4930598.43134882
155,137828,"18137090",5115,"tertiary","Dog Creek Road","CR 18","B",88,0,"F","F",1,427670.872598896,4904433.80824514
156,137543,"18136733",5122,"residential","370th Street","CR 141","B",0,0,"F","F",1,450354.067944121,4917840.74556297
157,137626,"18136836",5122,"residential","201st Avenue",,"B",0,0,"F","F",1,446970.424575391,4922215.93785045
158,137138,"18136195",5122,"residential","340th Street","CR 123","B",0,0,"F","F",1,447587.334782022,4922845.41013069
159,137383,"18136550",5122,"residential","302nd Street","CR 157","B",0,0,"F","F",1,442939.318988489,4928893.48198223
160,368813,"188047736",5115,"tertiary","310th Street","CR 120","B",0,0,"F","F",1,443748.420390465,4927702.89879023
161,136159,"18134933",5141,"service",,,"B",0,0,"F","F",1,443793.01280442,4927124.56952798
162,537048,"722812404",5115,"tertiary","320th Street","CR 28","B",88,0,"F","F",1,456019.357648865,4926023.32509489
163,350948,"160564846",5141,"service",,,"B",0,0,"F","F",1,455406.688354368,4924513.74661009
164,138550,"18137942",5115,"tertiary","Lexington Road","CR 26","B",88,0,"F","F",1,449586.999536636,4921208.96958364
165,368509,"186909775",5115,"tertiary","181st Avenue","CR 30","B",88,0,"F","F",1,450187.059465382,4923895.41077011
166,136172,"18134948",5122,"residential","334th Street",,"B",0,0,"F","F",1,450187.728929873,4923896.14313568
167,137693,"18136914",5122,"residential","181st Avenue",,"B",0,0,"F","F",1,450185.588366929,4920924.14393654
168,45365,"18021841",5115,"tertiary","243rd Street","CR 16","B",96,0,"F","F",1,434315.562210579,4898784.2217488
169,810595,"1112093713",5115,"tertiary","Kilkenny Road","CR 3","B",88,0,"F","F",1,454805.513055682,4910566.70270964
170,138225,"18137547",5114,"secondary","East Derrynane Street","MN 99","B",88,0,"F","F",1,443115.974232097,4914819.20691484
171,138591,"18137991",5122,"residential","330th Street","TWP 31","B",0,0,"F","F",1,448734.849205364,4924437.6409659
172,137200,"18136287",5122,"residential","Township Road 111",,"B",0,0,"F","F",1,429043.601614634,4905830.015758
173,537058,"722812415",5115,"tertiary","181st Avenue","CR 30","B",88,0,"F","F",1,450228.113232488,4930671.65693148
174,938247,"1338657603",5141,"service",,,"B",0,0,"F","F",1,426217.648663768,4899014.42444838
175,137479,"18136667",5113,"primary","State Highway 13","MN 13","B",88,0,"F","F",1,451967.780746227,4905990.2199871
176,138376,"18137749",5122,"residential","165th Avenue",,"B",0,0,"F","F",1,452467.390691168,4905894.83061938
