cat,a_cat,a_LINEARID,a_FULLNAME,a_RTTYP,a_MTFCC,b_cat,to_x,to_y
1,4295,"1102642247945","250th St","M","S1400",1,398732.532583457,4855757.51313946
2,3790,"1105059716395","T-19","M","S1400",1,398322.272171306,4858979.16142811
3,1022,"1106087378952","243rd St","M","S1400",1,436965.249937384,4898763.69312553
4,2759,"1104259749006","T-356","M","S1400",1,423842.29550983,4861775.42687499
5,782,"110208067995","607th Ave","M","S1400",1,431139.931143037,4868536.23657656
6,469,"1105061328934","T-112","M","S1400",1,426422.056030788,4879148.97981839
7,462,"110208064211","179th St","M","S1400",1,425887.743962747,4879567.68713952
8,516,"1103730889266","490th St","M","S1400",1,434314.957858294,4898784.22885494
9,2896,"110208064893","495th Ave","M","S1400",1,397360.619028649,4892379.23907146
10,3873,"1106092826881","Co Rd 104","C","S1400",1,390425.231397262,4896757.86931139
11,4297,"110208058164","100th St","M","S1400",1,391409.790585827,4855880.19399222
12,4296,"1105061340088","T-414","M","S1400",1,392408.815729868,4857567.0780773
13,3554,"1105061325999","T-332","M","S1400",1,432162.328664357,4890729.16996993
14,3884,"1104259735748","586th Ave","M","S1400",1,424702.70526587,4867107.28540303
15,901,"110208060432","142nd St","M","S1400",1,425370.594629192,4868285.02026882
16,1892,"1106087305039","State Hwy 30","S","S1200",1,421973.018269438,4864305.74764073
17,4085,"110208064174","176th Ln","M","S1400",1,395922.941347287,4879128.55898229
18,1610,"110208083184",,,"S1740",1,393781.814367803,4879735.68921085
19,3772,"110208058024","T-49","M","S1400",1,426701.22356003,4863465.59369107
20,2402,"1104781501113","597th Ave","M","S1400",1,427850.36498005,4861058.69985504
21,1778,"110208051471","Twp Rd 283","O","S1400",1,426159.988943953,4889617.10493928
22,2241,"1106087446699","586th Ave","M","S1400",1,424912.286400428,4889137.90658502
23,3072,"1108296484044","State Hwy 22","S","S1200",1,424092.884466088,4889591.35125276
24,2297,"110208057980","T-15","M","S1400",1,424852.217084933,4857312.63064124
25,4281,"110208057978","T-14","M","S1400",1,424247.818311755,4858310.37636683
26,44,"110208050834","Co Rd 28 S","C","S1400",1,430457.01230027,4879393.02297894
27,1985,"110208051015","State Hwy 60","S","S1200",1,399249.131246768,4883770.9563478
28,1428,"110208064794","478th Ave","M","S1400",1,392152.677206297,4894415.06211116
29,1422,"1103729838937","227th St","M","S1400",1,391834.046124237,4894527.27231516
30,3070,"1103690954697","618th Ave","M","S1400",1,434414.221950004,4875751.27811139
31,3070,"1103690954697","618th Ave","M","S1400",1,434421.59261874,4876447.30104197
32,2811,"110208057522","T-7","M","S1400",1,410901.376431106,4856398.04904021
33,3893,"110208067888","592nd Ave","M","S1400",1,426398.822228766,4875873.01244778
34,447,"1106087311024","Co Rd 159","C","S1400",1,437564.056888971,4863341.28355091
35,2894,"110208050845","Co Rd 30","C","S1400",1,393654.418205263,4885883.55068583
36,2903,"110208080372",,,"S1400",1,393327.557695229,4885709.37546482
37,4113,"1103370184397","631st Ave","M","S1400",1,438477.729907777,4880407.07475473
38,1892,"1106087305039","State Hwy 30","S","S1200",1,409433.98920261,4860054.15738223
39,3460,"110208068090","626th Ave","M","S1400",1,436724.556389359,4861079.78533239
40,1892,"1106087305039","State Hwy 30","S","S1200",1,436316.521010677,4860134.89977472
41,1464,"110208058473","129th St","M","S1400",1,433394.764011119,4864183.25882416
42,3601,"1103690954653","T 162","M","S1400",1,433431.510449431,4881895.1265477
43,3416,"1106087448825","505th Ave","M","S1400",1,400088.180555398,4886450.15045294
44,4299,"110208058269","111th St","M","S1400",1,401891.866652568,4858911.89219774
45,4329,"110208064957","507th Ave","M","S1400",1,400501.779057062,4860601.3691223
46,1892,"1106087305039","State Hwy 30","S","S1200",1,398513.932678112,4860978.98504305
47,3891,"1106087305174","Co Rd 174","C","S1400",1,428876.07604021,4883459.82089916
48,3495,"110208051349","US Hwy 169","U","S1200",1,406160.060926407,4873115.11820156
49,4000,"110208065055","521st Ave","M","S1400",1,404655.887200871,4871840.3991362
50,3878,"11030538788823","490th St","M","S1400",1,425082.28757464,4898884.6710419
51,3076,"1106092757632","491 Th","M","S1400",1,426639.110916878,4898916.0949814
52,2289,"1104259619321","584th Ave","M","S1400",1,423836.60411098,4861094.48760919
53,3451,"1106087305849","Co Rd 32","C","S1400",1,396714.872050834,4878926.76659715
54,1986,"1105061314257","T-104","M","S1400",1,400783.130925271,4879847.69599683
55,3070,"1103690954697","618th Ave","M","S1400",1,434403.028236072,4874662.03871289
56,2589,"1106087868758","T-330","M","S1400",1,432778.855672272,4873584.25934911
57,1907,"1105061311110","T-181","M","S1400",1,397749.777491479,4884728.82551444
58,3534,"110208050490","Co Rd 6","C","S1400",1,401663.848810826,4885019.99893813
59,3416,"1106087448825","505th Ave","M","S1400",1,400070.877220868,4885167.18035412
60,1885,"110208076424","Co Hwy 47","C","S1400",1,390408.383998977,4895676.96165223
61,405,"110208051079","Co Rd 102","C","S1400",1,390765.962660983,4896155.21005598
62,2894,"110208050845","Co Rd 30","C","S1400",1,393679.069594467,4887753.86233053
