cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
1,43276,"18019382",5115,"tertiary","550th Avenue","CR 1","B",88,0,"F","F",1,413491.622190773,4871559.54693954
2,393891,"254446807",5122,"residential","230th Street",,"B",0,0,"F","F",1,396152.096852974,4852522.57046114
3,295375,"64168493",5115,"tertiary",,"CH 40","B",88,0,"F","F",1,398732.64451175,4855759.29563016
4,42907,"18018938",5121,"unclassified","105th Street",,"B",0,0,"F","F",1,398439.698633212,4857366.62137243
5,42273,"18018214",5122,"residential","111th Street",,"B",0,0,"F","F",1,398322.294290737,4858979.18022285
6,42413,"18018370",5112,"trunk","MN 60 E","MN 60","F",104,0,"F","F",1,390947.196116258,4881438.27377635
7,257797,"18279558",5115,"tertiary","300th Street","CR 3","B",88,0,"F","F",1,388731.150750976,4878448.93874524
8,45365,"18021841",5115,"tertiary","243rd Street","CR 16","B",96,0,"F","F",1,436965.291243195,4898763.39329764
9,138720,"18138154",5122,"residential","480th Street","CR 103","B",0,0,"F","F",1,437025.319453422,4900365.77999692
10,43518,"18019710",5122,"residential","584th Avenue",,"B",0,0,"F","F",1,423838.798118772,4861775.35177353
11,42271,"18018212",5122,"residential","607th Avenue","CR 169","B",0,0,"F","F",1,431139.931143037,4868536.23657656
12,45495,"18022020",5122,"residential","594th Avenue",,"B",0,0,"F","F",1,427219.721414756,4877748.89061831
13,43953,"18020202",5122,"residential","592nd Avenue",,"B",0,0,"F","F",1,426422.056030047,4879148.97981831
14,45241,"18021671",5122,"residential","179th Street",,"B",0,0,"F","F",1,425887.743962747,4879567.68713952
15,45365,"18021841",5115,"tertiary","243rd Street","CR 16","B",96,0,"F","F",1,434314.936716176,4898784.22910354
16,137936,"18137224",5115,"tertiary","Ridgetop Road","CR 104","B",0,0,"F","F",1,433849.979222444,4899035.07557543
17,43361,"18019495",5122,"residential","495th Avenue",,"B",0,0,"F","F",1,397360.619028649,4892379.23907146
18,44871,"18021233",5122,"residential","120th Avenue",,"B",0,0,"F","F",1,387219.449512248,4897834.52743787
19,41615,"18017469",5122,"residential","472nd Avenue",,"B",0,0,"F","F",1,390422.31179091,4896759.38977962
20,393892,"254446808",5115,"tertiary","230th Street","CR 50","B",0,0,"F","F",1,390017.171733746,4852573.96765707
21,44709,"18021050",5122,"residential",,"CR 145","B",0,0,"F","F",1,391410.209455113,4855882.49153441
22,44299,"18020595",5122,"residential","481st Avenue",,"B",0,0,"F","F",1,392408.815729868,4857567.0780773
23,42023,"18017941",5122,"residential","610th Avenue",,"B",0,0,"F","F",1,432162.293723111,4890729.16234748
24,43501,"18019689",5122,"residential","586th Avenue",,"B",0,0,"F","F",1,424702.70526587,4867107.28540303
25,43333,"18019457",5115,"tertiary","142nd Street","CR 4","B",88,0,"F","F",1,425372.199775916,4868288.54883086
26,808376,"1108632815",5113,"primary","State Highway 30","MN 30","B",88,0,"F","F",1,421973.024369084,4864306.3722484
27,808558,"1108872669",5141,"service",,,"B",0,0,"F","F",1,422678.821883711,4865045.61442213
28,45305,"18021757",5142,"track","176th Lane",,"B",0,0,"F","F",1,395922.941347287,4879128.55898229
29,295361,"64142341",5141,"service",,,"B",0,0,"F","F",1,393787.848393144,4879969.03095583
30,295379,"64174172",5115,"tertiary","215th Street","CR 17","B",0,0,"F","F",1,436876.58204427,4890310.57030605
31,41773,"18017671",5115,"tertiary","County Road 23","CR 23","B",0,0,"F","F",1,437139.662260851,4885877.4115249
32,41825,"18017729",5115,"tertiary","County Road 26","CR 26","B",0,0,"F","F",1,432403.767539852,4894819.88338023
33,41825,"18017729",5115,"tertiary","County Road 26","CR 26","B",0,0,"F","F",1,431812.572115762,4894916.1286629
34,295334,"63971034",5112,"trunk","State Highway 60","MN 60","F",104,0,"F","F",1,406208.329346468,4887545.90249151
35,45185,"18021609",5122,"residential","127th Street",,"B",0,0,"F","F",1,426701.003850685,4863469.32778889
36,44749,"18021095",5122,"residential","597th Avenue",,"B",0,0,"F","F",1,427849.993958005,4861058.62197408
37,44422,"18020730",5122,"residential","211th Lane",,"B",0,0,"F","F",1,426159.988943953,4889617.10493928
38,46111,"18022806",5122,"residential","Hosanna Drive",,"B",0,0,"F","F",1,423701.529632453,4889622.39188029
39,93379,"18081940",5122,"residential","445th Avenue",,"B",0,0,"F","F",1,421414.103924107,4854883.41071327
40,44047,"18020311",5122,"residential","103rd Lane",,"B",0,0,"F","F",1,418451.121958701,4856307.96865816
41,42932,"18018966",5122,"residential","608th Avenue","CR 158","B",0,0,"F","F",1,431060.567688451,4858145.43698263
42,293217,"58951932",5113,"primary","State Highway 22","MN 22","B",96,0,"F","F",1,429546.455804201,4858258.37805567
43,808436,"1108775670",5122,"residential","597th Avenue","CR 156","B",0,1,"T","F",1,427826.53025429,4857945.84307207
44,42010,"18017928",5122,"residential","593rd Avenue","CR 155","B",0,0,"F","F",1,426615.589970062,4857632.34825601
45,42233,"18018173",5122,"residential","588th Avenue",,"B",0,0,"F","F",1,424851.021351725,4857312.60424672
46,42210,"18018142",5122,"residential","585th Avenue",,"B",0,0,"F","F",1,424246.986781162,4858311.35161478
47,44525,"18020844",5122,"residential","T-137",,"B",0,0,"F","F",1,430291.445125504,4879525.41727202
48,45820,"18022428",5122,"residential","153rd Street",,"B",0,0,"F","F",1,402854.319553439,4871779.42864604
49,295342,"63988800",5122,"residential","194th Street",,"B",0,0,"F","F",1,399255.747779153,4884307.93797487
50,45034,"18021443",5122,"residential","478th Avenue",,"B",0,0,"F","F",1,392152.677206297,4894415.06211116
51,44218,"18020504",5122,"residential","227th Street",,"B",0,0,"F","F",1,391834.048152249,4894527.26993582
52,43147,"18019229",5122,"residential","177th Street",,"B",0,0,"F","F",1,428975.275397125,4878671.37080013
