cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
109,430237,"383212213",5122,"residential","T24",,"B",0,0,"F","F",1,234259.255390199,5158672.88582277
110,430237,"383212213",5122,"residential","T24",,"B",0,0,"F","F",1,235409.118267506,5158615.52270163
111,259971,"18281870",5121,"unclassified","County Highway 15","CR 15","B",0,0,"F","F",1,239045.450388947,5158467.01115951
112,260628,"18282658",5122,"residential","T-88",,"B",0,0,"F","F",1,235404.942615083,5126346.23808703
113,258678,"18280235",5121,"unclassified","310th Avenue",,"B",0,0,"F","F",1,242669.732618712,5135716.81334136
114,260723,"18282815",5122,"residential","County Road 172",,"B",0,0,"F","F",1,234294.541702769,5148988.82892059
115,260801,"18282910",5142,"track","T-62",,"B",0,0,"F","F",1,222355.599677373,5147943.31613143
116,258665,"18280219",5122,"residential","County Road 18",,"B",0,0,"F","F",1,238254.496972293,5140715.08149531
117,260346,"18282310",5142,"track","T-51",,"B",0,0,"F","F",1,243109.564021986,5146988.07031853
118,175292,"18179635",5122,"residential",,,"B",0,0,"F","F",1,248448.460141278,5129264.37705188
119,30505,"18003487",5115,"tertiary","County Highway 9","CR 9","B",0,0,"F","F",1,266468.957972871,5204190.26867958
120,30155,"18003091",5121,"unclassified","260 Street",,"B",0,0,"F","F",1,266513.533805461,5204066.31735359
121,635316,"833551194",5115,"tertiary","County Highway 13","CR 13","B",0,0,"F","F",1,272749.273821685,5201288.84188916
122,27504,"17999984",5122,"residential","320 Street",,"B",0,0,"F","F",1,273012.030139129,5213418.5618288
123,29728,"18002600",5115,"tertiary","County Highway 26","CR 26","B",0,0,"F","F",1,289594.310212899,5204515.46714424
124,555809,"743410262",5142,"track","50th Street North",,"B",0,0,"F","F",1,219814.551333159,5218910.29138663
125,67004,"18048218",5121,"unclassified","80th Street North",,"B",0,0,"F","F",1,224574.988235652,5218707.35333805
126,515545,"699765450",5121,"unclassified","90th Street North",,"B",0,0,"F","F",1,226171.960668245,5218629.74811092
127,258950,"18280565",5122,"residential",,,"B",0,0,"F","F",1,240548.775064746,5164890.98764944
128,260214,"18282151",5122,"residential","T-79",,"B",0,0,"F","F",1,239146.463639157,5129385.49656524
129,260531,"18282533",5122,"residential","T-196",,"B",0,0,"F","F",1,234910.205608754,5138455.55843893
130,259771,"18281603",5121,"unclassified","T-214",,"B",0,0,"F","F",1,233272.07786831,5137756.48370634
131,259380,"18281117",5141,"service",,,"B",0,0,"F","F",1,226846.868324248,5138030.54405087
132,260387,"18282360",5122,"residential","County Road 168",,"B",0,0,"F","F",1,226798.697106135,5138023.39464079
133,260515,"18282514",5122,"residential","T-147",,"B",0,0,"F","F",1,235742.221629178,5129575.77106692
134,67165,"18048395",5115,"tertiary","120 Street North","CR 19","B",0,0,"F","F",1,230121.56238242,5207199.73877103
135,611353,"806962450",5142,"track",,,"B",0,1,"T","F",1,221390.49567649,5209115.35943564
136,303117,"98654184",5115,"tertiary","70th Street North","CR 11","B",0,0,"F","F",1,222583.473243242,5209058.16374455
137,66385,"18047512",5121,"unclassified","110th Street South","CR 71","B",0,0,"F","F",1,227789.939921533,5189652.19464289
138,507881,"681742998",5115,"tertiary","100th Street South","CR 17","B",0,0,"F","F",1,226181.127125954,5189710.62980944
139,389345,"241981954",5122,"residential","50th Street North",,"B",0,0,"F","F",1,219477.27941308,5210804.1679027
140,27125,"17999555",5115,"tertiary","County Road 159","CR 159","B",0,0,"F","F",1,273905.214269501,5214591.56952566
141,67160,"18048390",5142,"track","Northwest 10th Street",,"B",0,0,"F","F",1,211697.625188401,5217658.80363566
142,67411,"18048705",5121,"unclassified","15th Street Northwest","CR 100","B",0,0,"F","F",1,210224.009205609,5217698.31054721
143,302883,"97740321",5122,"residential","T-267",,"B",0,0,"F","F",1,220091.123665368,5169012.86277183
144,67160,"18048390",5142,"track","Northwest 10th Street",,"B",0,0,"F","F",1,211616.060060752,5216048.73396645
145,67208,"18048442",5121,"unclassified","3rd Street South","CR 59","B",0,0,"F","F",1,211265.872289435,5181317.31253149
146,919067,"1303981332",5122,"residential","120th Avenue South",,"B",0,0,"F","F",1,211931.755646398,5180572.83588075
147,64435,"18045237",5141,"service",,,"B",0,0,"F","F",1,216672.36251215,5175580.51001902
148,67271,"18048521",5115,"tertiary","20th Street North","CR 96","B",0,0,"F","F",1,214623.077610936,5211155.49428235
