cat,lcat,along,x,y,elev
1,69,0,237610.946707016,5164981.77490783,
2,69,0.998503320676794,237609.948796801,5164981.80931838,
3,69,1.99700664135359,237608.950886587,5164981.84372892,
4,69,2.99550996203038,237607.952976373,5164981.87813947,
5,69,3.99401328270718,237606.955066159,5164981.91255002,
6,69,4.99251660338397,237605.957155944,5164981.94696056,
7,69,5.99101992406076,237604.95924573,5164981.98137111,
8,69,6.98952324473756,237603.961335516,5164982.01578165,
9,69,7.98802656541435,237602.963425302,5164982.0501922,
10,69,8.98652988609115,237601.965515087,5164982.08460275,
11,69,9.98503320676794,237600.967604873,5164982.11901329,
12,69,10.9835365274447,237599.969694659,5164982.15342384,
13,69,11.9820398481215,237598.971784445,5164982.18783438,
14,69,12.9805431687983,237597.97387423,5164982.22224493,
15,69,13.9790464894751,237596.975964016,5164982.25665548,
16,69,14.9775498101519,237595.978053802,5164982.29106602,
17,69,15.9760531308287,237594.980143587,5164982.32547657,
18,69,16.9745564515055,237593.982233373,5164982.35988711,
19,69,17.9730597721823,237592.984323159,5164982.39429766,
20,69,18.9715630928591,237591.986412945,5164982.4287082,
21,69,19.9700664135359,237590.98850273,5164982.46311875,
22,69,20.9685697342127,237589.990592516,5164982.49752929,
23,69,21.9670730548895,237588.992682302,5164982.53193984,
24,69,22.9655763755663,237587.994772088,5164982.56635039,
25,69,23.9640796962431,237586.996861873,5164982.60076093,20531
26,69,24.9625830169199,237585.998951659,5164982.63517148,20530
27,69,25.9610863375966,237585.001041445,5164982.66958203,20530
28,69,26.9595896582734,237584.003131231,5164982.70399257,20527
29,69,27.9580929789502,237583.005221016,5164982.73840312,20520
30,69,28.956596299627,237582.007310802,5164982.77281366,20518
31,69,29.9550996203038,237581.009476845,5164982.80604159,20517
32,69,30.9536029409806,237580.024249898,5164982.64375559,20521
33,69,31.9521062616574,237579.039022952,5164982.48146959,20520
34,69,32.9506095823342,237578.053796005,5164982.31918359,20518
35,69,33.949112903011,237577.068569058,5164982.1568976,20517
36,69,34.9476162236878,237576.083342112,5164981.9946116,20513
37,69,35.9461195443646,237575.098115165,5164981.8323256,20517
38,69,36.9446228650414,237574.112888219,5164981.6700396,20517
39,69,37.9431261857182,237573.127661272,5164981.50775361,20517
40,69,38.941629506395,237572.142434325,5164981.34546761,20516
41,69,39.9401328270718,237571.157207379,5164981.18318161,20516
42,69,40.9386361477486,237570.16851288,5164981.2604536,20515
43,69,41.9371394684254,237569.179001567,5164981.39415567,20515
44,69,42.9356427891021,237568.189490254,5164981.52785774,20518
45,69,43.9341461097789,237567.199978941,5164981.66155981,20521
