from_cat,to_x,to_y
75,217391.584,5165917.5
75,219936.046,5165781.27
76,219936.046,5165781.27
77,233710.774,5148528.054
77,230438.78,5147532.158
77,238628.148,5150413.438
77,242887.287,5151865.964
77,227197.376,5147692.151
77,232036.982,5147563.681
77,234296.153,5148988.849
77,223963.091,5147850.774
77,225577.628,5147769.862
77,222354.867,5147942.073
77,228817.568,5147619.531
80,223438,5134899.645
80,225554.283,5134825.66
80,225095.649,5134849.676
82,214562.759,5154634.233
82,214663.61,5154680.256
99,242669.612,5135710.289
99,236431.466,5135974.604
99,233189.961,5136105.286
99,235440.574,5136014.45
99,226165.499,5136414.306
99,233198.864,5136093.764
99,223481.464,5136528.131
99,241060.94,5135784.034
99,239440.847,5135841.663
99,231607.138,5136169.27
100,241174.065,5139027.789
100,241060.94,5135784.034
101,241174.065,5139027.789
103,242669.612,5135710.289
104,231908.205,5144233.175
105,225471.967,5144552.149
105,229224.47,5144376.924
105,222258.743,5144732.85
105,227085.71,5144474.197
105,223867.335,5144700.368
107,212062.809,5182169.464
107,211915.826,5182173.398
107,214490.535,5182100.173
107,216110.691,5182057.861
107,219056.435,5181973.291
107,212871.318,5182143.658
109,217973.746,5186835.735
109,214765.404,5186924.071
109,216382.373,5186879.194
109,212352.909,5186997.373
111,223403.831,5133315.386
111,224041.546,5133277.799
113,223670.704,5206674.106
113,222249.379,5206727.849
113,225008.286,5205840.461
113,225227.541,5205819.768
113,233231.984,5205475.964
113,231617.641,5205562.371
113,230062.355,5205606.238
117,271112.697,5200861.323
117,269831.844,5203024.92
118,272868.314,5204945.732
119,269958.146,5203933.768
119,272868.314,5204945.732
119,272868.314,5204945.732
119,268101.727,5204733.381
119,269500.384,5203957.35
120,227173.043,5177439.849
120,225546.095,5177301.469
120,235128.455,5173425.883
120,230314.659,5174869.071
120,225487.727,5175846.482
120,227770.385,5176730.282
120,236079.972,5173132.055
120,228713.901,5175373.568
120,223926.647,5177090.692
120,231929.432,5174576.254
120,225736.158,5175202.747
121,229725.582,5158878.01
121,229725.582,5158878.01
121,229725.582,5158878.01
121,230696.569,5153995.461
121,229342.919,5159469.805
121,229342.919,5159469.805
121,229342.919,5159469.805
121,228361.903,5162177.389
121,228361.903,5162177.389
121,228361.903,5162177.389
121,230181.777,5157238.495
121,230181.777,5157238.495
121,230181.777,5157238.495
121,227284.143,5163844.285
121,227284.143,5163844.285
121,227284.143,5163844.285
122,233509.039,5143730.487
122,228617.03,5142790.695
122,231855.3,5142622.246
122,225422.325,5142933.635
122,227033.61,5142858.267
123,233482.527,5128027.316
124,227988.642,5131488.086
124,231573.697,5134584.107
124,233189.961,5136105.286
124,238251.746,5140713.935
124,234893.488,5137639.503
124,236565.697,5139184.167
124,229863.733,5133021.357
124,232515.817,5135456.04
124,239670.344,5142279.708
124,243048.934,5145375.566
124,233198.864,5136093.764
124,228206.098,5131585.708
125,227988.642,5131488.086
125,226388.45,5130788.059
125,227845.164,5131401.754
126,237248.408,5176314.463
126,234628.354,5178750.974
126,231756.2,5179770.699
126,232120.681,5179573.525
128,212228.141,5184787.795
128,213098.356,5183764.573
128,216205.583,5183662.908
128,212999.982,5183918.056
129,219393.385,5170632.138
130,220530.952,5173001.257
130,218895.197,5173074.073
130,217284.966,5173150.366
130,215673.296,5173229.053
131,235409.414,5126350.195
131,237265.36,5127755.396
131,237432.594,5127848.38
132,215313.379,5198088.763
132,217803.739,5197626.945
132,214959.575,5199111.01
132,220007.996,5194685.627
132,215320.353,5198198.233
132,214613.55,5199609.514
132,220010.932,5194735.264
132,213777.974,5201463.413
132,213752.329,5201719.556
132,215326.665,5198562.974
132,215336.362,5198521.308
132,215332.861,5198609.673
132,215178.139,5198783.757
132,214276.393,5199837.452
