cat,along,x,y
1,0,273199.991518113,5214225.19311877
2,19.999999999224,273188.598335426,5214208.75549764
3,49.9999999991124,273163.941903739,5214225.84527167
4,69.9999999983364,273175.335086426,5214242.2828928
5,99.9999999982248,273199.991518113,5214225.19311877
6,0,273007.715035646,5213254.91486359
7,19.9999999999859,272988.165684248,5213250.69315068
8,49.9999999993791,272981.833114881,5213280.01717778
9,69.999999999365,273001.382466279,5213284.23889069
10,99.9999999987582,273007.715035646,5213254.91486359
11,0,272696.199904716,5214353.617955
12,20.0000000008105,272699.378159212,5214333.87210231
13,50.0000000008768,272669.759380181,5214329.10472056
14,70.0000000016872,272666.581125684,5214348.85057325
15,100.000000001754,272696.199904716,5214353.617955
16,0,273134.742168903,5214249.17690278
17,20.0000000001787,273151.618325703,5214238.44399396
18,49.9999999995049,273135.518962478,5214213.12975876
19,69.9999999996836,273118.642805678,5214223.86266758
20,99.9999999990098,273134.742168903,5214249.17690278
21,0,272658.506682569,5214999.65273956
22,19.9999999996119,272676.682457079,5214991.30760799
23,50.0000000002961,272664.164759722,5214964.04394622
24,69.999999999908,272645.988985212,5214972.38907779
25,100.000000000592,272658.506682569,5214999.65273956
26,0,272722.693399297,5215017.07097583
27,19.9999999999811,272723.68138627,5214997.09539369
28,49.9999999999557,272693.718013063,5214995.61341323
29,69.9999999999368,272692.73002609,5215015.58899537
30,99.9999999999113,272722.693399297,5215017.07097583
31,0,273181.966710926,5214225.51919522
32,0,272994.774075264,5213267.46602068
33,0,272682.979642448,5214341.36133778
34,0,273135.13056569,5214231.15333077
35,0,272661.335721145,5214981.84834289
36,0,272708.20570618,5215006.34219453
