cat,lcat,along,elev,x,y
1,27,0,273.757764550781,215312.931403259,5197950.75908676
2,27,0.999967904215605,273.757764550781,215312.143222847,5197950.99592352
3,27,1.99993580843121,273.774024023438,215312.034792784,5197951.98999531
4,27,2.99990371264681,273.647036425781,215311.938695594,5197952.52874426
5,27,3.99987161686242,273.60651796875,215311.668112707,5197951.75870039
6,27,4.99983952107802,273.620731054687,215311.417833384,5197950.96719588
7,27,5.99980742529363,273.806505761719,215311.363373674,5197949.96871205
8,27,6.99977532950923,274.1527171875,215311.308913967,5197948.97022822
9,27,7.99974323372484,274.314102685547,215311.254454273,5197947.9717444
10,27,8.99971113794044,274.450633886719,215311.199994547,5197946.97326057
11,27,9.99967904215605,274.529791845703,215311.14553486,5197945.97477675
12,27,10.9996469463717,274.543763085938,215311.091075154,5197944.97629292
13,27,11.9996148505873,274.561250390625,215311.036615456,5197943.97780909
14,27,12.9995827548029,274.386637792969,215310.982155746,5197942.97932527
15,27,13.9995506590185,274.442448339844,215310.92769605,5197941.98084144
16,27,14.9995185632341,274.474558007813,215310.91645576,5197940.98117991
17,27,15.9994864674497,274.470893115234,215310.916458446,5197939.981212
18,27,16.9994543716653,274.470893115234,215310.770092491,5197939.09128107
19,27,17.9994222758809,274.473925488281,215310.715632782,5197938.09279724
20,27,18.9993901800965,274.509048925781,215310.661173083,5197937.09431342
21,27,19.9993580843121,274.575854150391,215310.67228737,5197936.09538358
22,27,20.9993259885277,274.631664697266,215310.713159852,5197935.09625133
23,27,21.9992938927433,274.6468265625,215310.754032334,5197934.09711908
24,27,22.9992617969589,274.673113330078,215310.794904817,5197933.09798683
25,27,23.9992297011745,274.687140380859,215310.835777299,5197932.09885458
26,27,24.9991976053901,274.620893261719,215310.876649781,5197931.09972233
27,27,25.9991655096057,274.600317773437,215310.917522264,5197930.10059008
28,27,26.9991334138213,274.574961181641,215310.958394746,5197929.10145784
29,27,27.9991013180369,274.550237109375,215310.970949313,5197928.10174658
30,27,28.9990692222525,274.544618847656,215310.970952017,5197927.10177867
31,27,29.9990371264681,274.533028857422,215310.275090825,5197926.79830499
32,27,30.9990050306837,274.545567626953,215310.054709859,5197925.97519823
33,27,31.9989729348993,274.571761376953,215310.000250148,5197924.9767144
34,27,32.998940839115,274.320874365234,215309.945790452,5197923.97823058
35,27,33.9989087433306,274.323795117188,215309.891330741,5197922.97974675
36,27,34.9988766475462,274.333878222656,215309.836871034,5197921.98126292
37,27,35.9988445517618,274.347942480469,215309.782411323,5197920.9827791
38,27,36.9988124559774,274.380740478516,215309.727951625,5197919.98429527
39,27,37.998780360193,274.409761962891,215309.673491931,5197918.98581145
40,27,38.9987482644086,274.415808105469,215309.619032221,5197917.98732762
41,27,39.9987161686242,274.440587988281,215309.564572524,5197916.9888438
42,27,40.9986840728398,274.47150703125,215309.510112813,5197915.99035997
43,27,41.9986519770554,274.488510644531,215309.455653091,5197914.99187615
44,27,42.998619881271,274.496956640625,215309.401193408,5197913.99339232
45,27,43.9985877854866,274.504342236328,215309.3467337,5197912.99490849
46,27,44.9985556897022,274.50543984375,215309.292274004,5197911.99642467
47,27,45.9985235939178,274.512676611328,215309.237814293,5197910.99794084
48,27,46.9984914981334,274.59473671875,215309.264304872,5197909.9990166
49,27,47.998459402349,274.583109521484,215309.307896885,5197908.9999993
50,27,48.9984273065646,274.583109521484,215309.351488897,5197908.00098201
51,27,49.9983952107802,274.580765478516,215309.39508091,5197907.00196472
52,27,50.9983631149958,274.616558642578,215309.438672922,5197906.00294743
53,27,51.9983310192114,274.639868847656,215309.482264935,5197905.00393014
54,27,52.9982989234271,274.602661816406,215309.525856948,5197904.00491285
55,27,53.9982668276427,274.594848339844,215309.56944896,5197903.00589556
56,27,54.9982347318583,274.581193359375,215309.613040973,5197902.00687827
57,27,55.9982026360739,274.527652441406,215309.656632985,5197901.00786098
58,27,56.9981705402895,274.527652441406,215309.298893822,5197901.34149357
59,27,57.9981384445051,274.581193359375,215309.222761126,5197902.33855908
60,27,58.9981063487207,274.594848339844,215309.14662843,5197903.33562459
61,27,59.9980742529363,274.602661816406,215309.070495734,5197904.33269009
62,27,60.9980421571519,274.365206542969,215308.994363038,5197905.3297556
63,27,61.9980100613675,274.365206542969,215308.956036909,5197905.33515384
64,27,62.9979779655831,274.349747021484,215308.956039605,5197904.33518593
65,27,63.9979458697987,274.338938378906,215308.956042304,5197903.33521803
66,27,64.9979137740143,274.322883544922,215308.956045006,5197902.33525012
67,27,65.9978816782299,274.292801660156,215308.928676196,5197901.33602808
68,27,66.9978495824455,274.292131933594,215308.668245093,5197900.55525389
69,27,67.9978174866611,274.315293310547,215308.613785385,5197899.55677006
70,27,68.9977853908767,274.344072949219,215308.559325685,5197898.55828623
71,27,69.9977532950923,274.368685400391,215308.504865973,5197897.55980241
72,27,70.9977211993079,274.376070996094,215308.450406267,5197896.56131858
73,27,71.9976891035235,274.400274169922,215308.395946558,5197895.56283476
74,27,72.9976570077391,274.423565771484,215308.341486865,5197894.56435093
75,27,73.9976249119547,274.449536279297,215308.302563654,5197893.56544374
76,27,74.9975928161704,274.468846728516,215308.302566349,5197892.56547584
77,27,75.9975607203859,274.467972363281,215308.183883314,5197891.67479056
78,27,76.9975286246016,274.478669384766,215308.129423603,5197890.67630673
79,27,77.9974965288172,274.483952783203,215308.074963902,5197889.67782291
80,27,78.9974644330328,274.490910498047,215308.020504177,5197888.67933908
81,27,79.9974323372484,274.258515380859,215307.975827017,5197887.68058869
82,27,80.997400241464,274.300094238281,215307.975829723,5197886.68062078
83,27,81.9973681456796,274.291666845703,215307.862900638,5197885.78977873
84,27,82.9973360498952,274.296578173828,215307.813799458,5197884.79119762
85,27,83.9973039541108,274.343979931641,215307.831979067,5197883.79139498
86,27,84.9972718583264,274.338510498047,215307.850158676,5197882.79159235
87,27,85.997239762542,274.324539257812,215307.789198973,5197881.86957371
88,27,86.9972076667576,274.324539257812,215307.602261025,5197881.01111803
89,27,87.9971755709732,274.340798730469,215307.547801313,5197880.0126342
90,27,88.9971434751888,274.362918310547,215307.493341607,5197879.01415037
91,27,89.9971113794044,274.389558544922,215307.485724344,5197878.01439011
92,27,90.99707928362,274.390991015625,215307.485727052,5197877.01442221
93,27,91.9970471878356,274.390488720703,215307.335738045,5197876.12459002
94,27,92.9970150920512,274.402543798828,215307.281278345,5197875.1261062
95,27,93.9969829962668,274.422951855469,215307.226818651,5197874.12762237
96,27,94.9969509004824,274.452680273438,215307.2271559,5197873.12814367
97,27,95.9969188046981,274.491766259766,215307.24533551,5197872.12834104
98,27,96.9968867089136,274.498017041016,215307.263515119,5197871.1285384
99,27,97.9968546131293,274.482855175781,215307.020638719,5197870.34744549
100,27,98.9968225173449,274.247111425781,215306.995618951,5197869.34815944
101,27,99.9967904215605,274.277751416016,215306.995621667,5197868.34819153
102,27,100.996758325776,274.249697314453,215306.966020874,5197867.34903031
103,27,101.996726229992,274.20956953125,215306.80857547,5197866.45940129
104,27,102.996694134207,274.274849267578,215306.754115765,5197865.46091746
105,27,103.996662038423,274.366564599609,215306.699656054,5197864.46243364
106,27,104.996629942638,274.402283349609,215306.685811736,5197863.46363407
107,27,105.996597846854,274.408143457031,215306.724741136,5197862.46442422
108,27,106.99656575107,274.403846044922,215306.763670535,5197861.46521438
109,27,107.996533655285,274.415529052734,215306.802599934,5197860.46600453
110,27,108.996501559501,274.411529296875,215306.841529334,5197859.46679469
111,27,109.996469463717,274.431286230469,215306.880458733,5197858.46758485
112,27,110.996437367932,274.428514306641,215306.919388132,5197857.468375
113,27,111.996405272148,274.400832275391,215306.50134234,5197856.90908282
114,27,112.996373176363,274.400832275391,215306.244864949,5197856.12412961
115,27,113.996341080579,274.427770166016,215306.190405243,5197855.12564578
116,27,114.996308984795,274.452122167969,215306.193074426,5197854.12612475
117,27,115.99627688901,274.467897949219,215306.211254039,5197853.12632211
118,27,116.996244793226,274.4682328125,215306.229433652,5197852.12651948
119,27,117.996212697441,274.232061181641,215305.984225318,5197851.3454689
120,27,118.996180601657,274.251018164062,215305.929765614,5197850.34698508
121,27,119.996148505873,274.261696582031,215305.875305921,5197849.34850125
122,27,120.996116410088,274.261752392578,215305.820846216,5197848.35001742
123,27,121.996084314304,274.268710107422,215305.797585795,5197847.35068343
124,27,122.996052218519,274.284895166016,215305.797588502,5197846.35071553
125,27,123.996020122735,274.276765429687,215305.663242661,5197845.46045707
126,27,124.995988026951,274.289899511719,215305.608782948,5197844.46197325
127,27,125.995955931166,274.319311669922,215305.579761263,5197843.46279625
128,27,126.995923835382,274.339998779297,215305.579763974,5197842.46282834
129,27,127.995891739597,274.333561962891,215305.451179401,5197841.57241288
130,27,128.995859643813,274.348705224609,215305.396719695,5197840.57392905
131,27,129.995827548029,274.363662451172,215305.342259994,5197839.57544523
132,27,130.995795452244,274.376145410156,215305.28780028,5197838.5769614
133,27,131.99576335646,274.41138046875,215305.233340573,5197837.57847757
134,27,132.995731260675,274.419770654297,215305.178880874,5197836.57999375
135,27,133.995699164891,274.444829589844,215305.144112537,5197835.58097334
136,27,134.995667069107,274.471934912109,215305.144115244,5197834.58100544
137,27,135.995634973322,274.467786328125,215305.021277322,5197833.6904334
138,27,136.995602877538,274.225252294922,215304.966817619,5197832.69194957
139,27,137.995570781753,274.240953662109,215304.9123579,5197831.69346575
140,27,138.995538685969,274.261975634766,215304.857898215,5197830.69498192
141,27,139.995506590185,274.280151269531,215304.803438506,5197829.6964981
142,27,140.9954744944,274.293062109375,215304.748978807,5197828.69801427
143,27,141.995442398616,274.293564404297,215304.713117858,5197827.69919277
144,27,142.995410302831,274.315963037109,215304.73129747,5197826.69939014
145,27,143.995378207047,274.323590478516,215304.749477083,5197825.6995875
146,27,144.995346111263,274.298736181641,215304.542798864,5197824.91783741
147,27,145.995314015478,274.318883789063,215304.488339189,5197823.91935358
148,27,146.995281919694,274.355811767578,215304.433879474,5197822.92086975
