from_cat,to_x,to_y,dist
1317,304013.274901616,4974061.3678579,1.78811752637049
1318,304889.812703098,4974915.61971588,0.244389196524132
1320,313548.186029813,4980023.05230928,0.320105581637837
1324,313641.330886356,4980881.76971265,1.13640923282965
1334,313593.883474797,4980959.13716426,0.0941414333314096
1335,314970.200350648,4991666.22167619,3.40612152870318
1336,316571.91421227,4990937.32341988,11.1193518713849
1337,317718.623021395,4989583.7110139,11.7013891075454
1338,320388.234701252,4987921.58655095,3.53253003057963
1339,282869.922230803,4990723.53305828,0.129387968574071
1341,310479.76500754,5001379.80159662,1.16061357902091
1342,307980.649604271,4974897.46310341,1.01441400751919
1343,308882.915636755,4975306.67205626,3.27692688393014
1344,290865.190815159,4990810.80871637,3.67318823346566
1345,321087.238453521,4992723.3909076,1.29623807613903
1346,304577.23139216,4975401.24216262,1.97659771985166
1348,302635.256415494,4978684.92414318,11.1467368894298
1349,307258.326741767,5001758.30330426,5.18504450285706
1351,301676.479413688,4979370.17158243,1.22715396798544
1352,307192.390511345,4999907.75155894,12.7758205164325
1353,303244.948167787,4978081.51405872,6.70621973117539
1354,297276.28541363,4991591.35382326,3.63770883050603
1355,312951.931236994,4979540.44916336,0.702576609144676
1356,284476.868719573,4990158.67588913,0.495918389001637
1357,314591.815504932,4986449.83787239,21.0899504564474
1358,313814.610418948,4983232.25989019,5.05269649255937
1360,313405.573921984,4989715.10666785,13.9345260075265
1362,311308.71957258,4978477.15706786,9.79652295647268
1364,303840.096367473,4973811.73567613,0.22478706754517
1366,313601.310486765,4980293.28490712,0.998402452158138
1367,310054.902781349,4976897.18837562,0.844266734889417
1371,323234.1284671,4997068.25692796,1.07493376898398
1372,303326.496151668,4980337.80458129,10.9919486633874
1373,308775.362558436,4998833.7590962,0.292780930939039
1374,312082.403999021,5000994.15898194,0.449981942773931
1375,278265.184556283,4995715.12579225,16.2543952315683
1376,278343.240260507,4995656.343718,11.1836648154509
1377,300464.945459384,4990646.17038933,0.336764920623451
1378,307553.674706466,4999543.81826933,7.13808066046568
1379,297135.855767374,4978910.93560655,2.29930619676989
1380,302637.950735921,4983499.86761087,17.7410638119085
1381,303724.60142649,4991728.77275608,2.34893548739693
1382,305170.148372716,4985057.20987917,0.979767632903471
1383,306661.74870689,4983982.07053111,1.23876966197818
1384,298861.827805446,4990871.50348732,2.38352687031616
1385,305743.267413729,4985039.40416805,0.440303470483485
1386,281650.930188374,5000408.51242922,3.51341419923069
1387,313777.700988566,4981271.4327452,1.17018289879794
1388,300295.118880851,4985203.78898694,0.777459047916645
1389,303324.592327349,5002838.68612873,1.22712104370911
1390,296887.595509371,4991802.3072002,1.38987642178847
1391,282160.325603085,5000353.71298762,2.92339691493256
1392,297294.742981942,4982149.85243138,5.35806067624242
1393,297085.486557597,4993367.0731197,1.21724721618545
1394,303207.137966363,4991555.08500313,11.3374058377315
1395,289056.069299143,4990454.81616179,1.4379906535178
1396,312854.269008376,4975838.6479298,3.75992979669014
1397,284794.950280502,4998434.73545099,17.4594601695124
1398,290225.476262117,4990402.81399221,2.39676871900417
1399,301992.777153425,4987976.93057094,14.9083016739037
1400,319823.476107464,4991432.58420827,1.46571140331361
1401,319727.928140739,4988829.86706255,1.91386926867329
1402,292028.101790898,4990341.50814656,2.9184392612839
1403,312212.694100074,5001084.45695918,19.4738999255197
1405,305776.990406438,5001201.06648378,1.96408759283465
1406,308886.507915108,5002010.00370644,3.04216332549915
1407,302847.535862774,4981900.77239787,0.733864105148766
1408,310319.68199967,4996745.18539157,1.04360842984175
1410,292525.80739102,4992281.16958995,3.56401838754377
1411,318587.350959968,4979865.31981495,11.0903576915036
1412,314560.281120484,4991295.9581156,3.87241977486162
1413,316591.255048892,4991279.89563102,0.578051685454286
1414,305613.882446702,5001085.12156953,1.16408246478295
1416,304765.511690302,4975130.1184922,3.56370941145727
1417,299062.652670125,4972425.25967152,17.184741592261
1418,318215.613325779,4991712.66414774,4.83034022262199
1419,289229.457802195,4990251.61026282,0.307383538421098
1420,286285.592038948,4990562.47972829,4.06908144164452
1421,291860.771241367,4991963.45167091,0.498516606809123
1422,316493.830403888,4991245.98705928,0.293680966584604
1423,313888.956132909,4984851.59782662,0.411233899071245
1425,313667.199036613,4988089.10010789,0.896531383065684
1427,294189.031876566,4993936.16421075,3.55605198675089
1428,292686.325022076,4993517.6469796,0.842284413287251
1429,296219.937457827,4993396.22036509,1.22782527448264
1431,291283.924995046,4990365.36210843,3.36472316787114
1432,287644.515984464,4990951.21024168,2.11224168079099
1433,303444.481481062,4983494.46225822,1.92833660520688
1434,288975.318810168,4982795.19032853,3.56064345983055
1435,293154.393881662,4987064.555395,1.25110436350269
1436,283231.942897122,4999789.43759314,1.11714677307713
1437,287888.623569008,4998570.16611139,2.16832609236859
1438,316146.766972856,4979881.5450758,2.37578420304535
1439,321293.070406667,4987696.56598921,19.1510566653321
1440,275193.391235314,4999348.45524149,8.66733871921783
1441,316099.359250789,4979921.47473445,0.904427272809036
1442,316154.624931229,4980131.79211913,4.2273916269831
1443,283902.382389941,4998654.88211155,1.63655139102803
1444,305298.48354755,4991971.85651531,0.62846036771028
1445,309426.840849069,4997886.93678693,3.00971550901535
1446,287578.325944112,4998549.48774911,1.9498023502625
6586,328925.806877338,5000270.60242494,4.14324073311563
6591,323467.251214288,5004938.10631733,0.947300736250296
6592,325065.820010805,5006559.24203842,0.708047197325186
6597,324880.550265742,5000178.76140759,1.28106774555714
6614,326713.978005016,5006744.93405392,1.66794607882211
6615,323472.814358377,4999113.06576677,1.10986230413131
6628,323437.822774611,4997504.44542662,0.152816395566424
7200,319685.02640944,5005642.28815637,0.762737082307783
9706,305557.88211571,4975092.28679577,1.26377219102302
9723,275606.519280517,4998955.66325439,5.85676280610379
9724,271613.915903435,4999118.39494364,7.43329532077185
9762,281464.778660482,4998764.4461763,0.375687937399589
11614,286016.383984994,4990531.36520169,4.57520168835895
14344,294736.654851509,5008932.42101015,0.4170317279315
14348,290817.351995221,5009196.68521712,1.658475032465
14352,296490.929837628,5006252.69989669,0.352229381823861
14357,302607.667401316,5005213.69205453,1.43616986389999
14360,291557.494103389,5009734.35217383,4.16350404747993
14366,299411.107749879,5005640.83178031,2.2047270314038
14369,303075.722205226,5004460.77501137,0.36111358370934
14374,293162.880277824,5009904.25174287,3.91642213777235
14397,300191.479123006,5004537.27983632,1.53790903570633
15550,313990.336546826,4981117.55820828,1.28936363495631
16596,271975.279248506,4997969.41089086,3.3327603548128
16799,310388.339994392,4998713.23363656,2.91463655606452
17116,322343.263361185,4986407.10802522,2.40492705674443
17281,305048.116689519,4983679.60311028,2.38697676624734
17377,319739.887428232,5005412.06858771,1.14244064677025
17406,301269.211858027,4980379.29135802,3.01424457428966
17407,297928.708433502,4980496.09160433,0.725938121441912
17408,303409.749108039,4980253.68622159,7.60365987545137
17687,295775.466372988,4994121.53618157,0.93750619789241
17747,281585.303737169,5000376.90165375,1.37031110037682
17773,295857.536930743,4996738.81356182,3.88747447303186
17777,303591.481000075,4987824.9740916,1.15488883807518
17778,292163.105710358,4988718.84833188,0.323129690468342
17835,276711.669570676,4997407.29374248,1.81644738128908
17932,322081.669026073,4987048.21418745,0.636689969783724
18106,306656.24175372,4993080.68076112,0.0309518397629708
18108,279760.323891906,4995598.26916404,2.50918302488264
18157,317822.204488561,4981264.03020688,4.47159283113697
18268,314040.705533393,4975176.08755345,3.72170650283404
18269,312504.56116934,4975210.26474447,1.84194465711591
18270,306293.738290971,4993087.19965824,0.292187031701167
18381,297246.650157708,4977284.76066637,0.804308879386322
18539,314417.259966378,4974334.89026925,3.27822696687247
18799,315333.868971576,5002724.745106,3.87334667538952
19808,312254.380600342,4973601.51821185,2.15625464394251
19970,294632.056791776,4996668.63602036,12.9963657545838
19988,292385.382286441,4988419.2368372,0.402857592295728
20465,311903.744721987,4973306.51229368,0.0714284778047229
20736,310967.219616443,4996242.20788172,1.89161273415123
20750,311991.931001486,4998381.60417792,3.11782207712566
20751,311924.942212755,4996762.14779778,31.4611824678842
20753,313182.647643577,4996203.45239122,4.83269413804381
20756,315179.969918154,5002605.53865582,0.459227173923652
20815,313527.471521615,4996095.34396122,1.44507936554853
21259,296269.788703087,5007878.49173161,2.30336321744762
21366,304292.630901708,4977014.13324511,3.32707964541549
21670,300706.244361817,4986805.90799143,1.05667655032027
21957,300769.864673988,4983570.37055062,5.60939157375862
21959,301401.591735344,4981989.84071795,10.8688994013572
22068,322658.361009618,5004950.19359726,3.36759726238879
22164,311278.182670432,4971982.67494983,0.697706052456529
23108,322830.87481957,4995904.04924328,0.114380172574856
23326,297619.5770802,4975649.69099822,24.3795793233714
23487,313579.809610902,4981632.16615186,1.89691291648908
23581,321058.485952965,5005487.6583231,3.93921780548801
23593,292549.898734928,4992937.72118677,0.311309452753643
23598,304618.56500184,4977006.90422645,6.51563364212132
23623,299553.818156934,5002941.83047523,2.75228778679662
23634,302092.891606154,4991121.00070302,18.11420398809
23646,299192.919661067,5001192.4164197,17.9252389906094
23647,299315.017573985,5002771.17008696,13.3173159618886
23791,315103.800336324,4996166.66987167,0.813078456417775
23792,321539.644084071,4994371.80251849,0.0934859932287016
23812,313855.294778113,4996179.39448052,3.30201408874897
23881,294865.562650622,4995054.07605324,0.997962476272466
24146,316971.434734437,5003791.62327476,3.24998591939377
24305,317847.288429266,5004178.70052174,1.23656139326771
