from_cat,to_x,to_y,dist
3248,455719.99970872,4825684.04680785,0.00882857646524456
3252,471269.098426152,4838847.68016004,5.404714620692
3253,459678.142121184,4823249.46509705,0.992913898473366
3255,492007.124083525,4839219.23645096,6.56858921821753
3256,489192.893684317,4840589.12516289,10.5638788306875
3259,476082.531617672,4823269.40712214,3.20296607770897
3260,459357.102210383,4819302.84444631,0.204928971696672
3261,491220.930388541,4839687.448536,7.4465720880994
3263,484769.078389059,4843719.45134359,7.00249958569025
3264,495106.543478507,4837462.09475635,7.71059849748756
3265,486600.678422823,4843768.94430173,10.8064804833242
3267,483146.135616421,4842102.03051108,2.70153945932699
3269,471784.922962891,4820364.54644451,3.71674765411741
3270,471425.596554041,4820801.57613609,2.80828704512079
3271,473472.580887684,4825082.52205243,5.85316689293807
3273,486367.842287861,4843357.80320061,0.933301350821642
3274,486372.742710363,4841526.22283619,3.31717033180729
3275,455623.142268942,4826061.08606325,1.56737157826506
3276,470864.212987814,4841269.50780614,3.62724040701238
3277,453535.362937622,4829293.61220553,1.395216504455
3278,470998.517,4816997.3522,6.98432536814116
3280,483547.920753923,4845912.00492428,4.781317363996
3285,486606.052652416,4842123.94293967,4.2666751870816
3287,477464.578436792,4822330.36554573,6.89724372279095
3288,490388.771300464,4845779.20553201,0.807477735804111
3289,477855.351652279,4816761.34780987,2.06925713971256
3290,457921.245708381,4822831.37841499,0.467627452038371
3291,454873.9158,4816452.6025,4.76478178859672
3292,475839.010931375,4816876.87259632,2.79395784524512
3293,484779.969083772,4840901.85944964,3.22337662594516
3294,455663.691478051,4817254.64186745,1.52896735390792
3315,465818.7378,4836963.7975,36.3519398230015
3377,471307.702918632,4820766.53053011,2.36450835731419
3378,471335.075252143,4820774.9733464,0.78627506858844
3382,450184.346804589,4834142.20590864,1.53852789244801
3383,459054.196201447,4854409.8868886,3.3220138433525
3384,459264.04849991,4851811.73171954,2.51024822826482
3385,473770.978331079,4852259.03404834,0.477000425894393
3386,449396.144984312,4839519.01341528,3.8569836825287
3388,483128.994068251,4832389.15703374,13.3717738544163
3389,463223.590956397,4846963.25502309,0.991352548366342
3392,484612.251293634,4850170.9249721,18.1975986271461
3393,471869.436658477,4826588.8866907,3.57685165574862
