cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
102,102245,"18092995",5121,"unclassified","140th Street",,"B",0,0,"F","F",1,484161.560716899,4822785.48252206
103,100685,"18090976",5121,"unclassified","120th Street",,"B",0,0,"F","F",1,479060.519232704,4819559.64027436
104,102718,"18093564",5122,"residential","710th Avenue",,"B",0,0,"F","F",1,463812.730190654,4826916.95720922
105,102795,"18093650",5114,"secondary","810th Avenue","CR 26","B",88,0,"F","F",1,479914.912499298,4846512.18084623
106,934642,"1331703228",5115,"tertiary","660th Avenue","CR 4","B",0,1,"T","F",1,455661.951725582,4817254.65175569
107,100362,"18090525",5122,"residential","110th Street",,"B",0,0,"F","F",1,458740.003131772,4818029.1079883
108,102544,"18093357",5122,"residential","765th Avenue",,"B",0,0,"F","F",1,472003.096042226,4819405.58793903
109,101946,"18092617",5122,"residential","760th Avenue",,"B",0,0,"F","F",1,472611.028064097,4816750.65714318
110,369748,"189151644",5111,"motorway",,"I 90","F",112,0,"F","F",1,485558.951120786,4834118.17072877
111,102245,"18092995",5121,"unclassified","140th Street",,"B",0,0,"F","F",1,485933.525967404,4822759.63988123
112,100463,"18090643",5115,"tertiary","720th Avenue","CR 16","B",0,0,"F","F",1,465246.270687154,4821425.97048308
113,102795,"18093650",5114,"secondary","810th Avenue","CR 26","B",88,0,"F","F",1,479902.675300965,4838869.6992052
114,934637,"1331703223",5115,"tertiary","850th Avenue","CR 30","B",0,0,"F","F",1,486364.404762388,4851814.80008446
115,102302,"18093058",5122,"residential","675th Avenue",,"B",0,0,"F","F",1,458163.357933225,4825748.54840286
116,307152,"115760532",5142,"track","120th Street",,"B",0,0,"F","F",1,451537.84578229,4818711.45954396
117,307178,"115792602",5115,"tertiary","310th Street","CR 33","B",0,0,"F","F",1,452139.060897015,4849880.57872962
118,101718,"18092334",5115,"tertiary","220th Street","CR 74","B",0,0,"F","F",1,462240.073720202,4835669.18314607
119,100221,"18090334",5121,"unclassified","770th Avenue",,"B",0,0,"F","F",1,473471.676860365,4825919.88351631
120,307214,"115832685",5115,"tertiary","750th Avenue","CR 18","B",0,0,"F","F",1,470247.070328097,4823174.84779121
121,101718,"18092334",5115,"tertiary","220th Street","CR 74","B",0,0,"F","F",1,461142.08292705,4835677.6990029
122,100374,"18090537",5122,"residential","200th Street",,"B",0,0,"F","F",1,459661.426931019,4832463.62506242
123,101279,"18091704",5121,"unclassified","840th Avenue",,"B",0,0,"F","F",1,484715.947576009,4822350.2204536
124,100317,"18090443",5122,"residential","170th Street",,"B",0,0,"F","F",1,454604.349851473,4827677.53190257
125,449962,"476312805",5115,"tertiary","140th Street","CR 9","B",0,1,"T","F",1,457921.173926251,4822831.85196798
126,102597,"18093424",5115,"tertiary","160th Street","CR 15","B",0,0,"F","F",1,455623.172274596,4826062.83405064
127,101482,"18092028",5115,"tertiary","320th Street","CR 67","B",0,0,"F","F",1,459262.668029963,4851810.70904623
128,100848,"18091161",5115,"tertiary","310th Street","CR 33","B",88,0,"F","F",1,458651.069856577,4850205.43279496
129,255986,"18277438",5113,"primary","State Highway 13","MN 13","B",96,0,"F","F",1,461468.182388088,4852919.6857424
130,101580,"18092152",5115,"tertiary","325th Street","CR 35","B",88,0,"F","F",1,470544.456127788,4852553.73511213
131,100912,"18091244",5122,"residential","270th Street",,"B",0,0,"F","F",1,468271.879614803,4843708.85309703
132,307236,"115836425",5122,"residential","760th Avenue",,"B",0,0,"F","F",1,471882.597863061,4841910.53320254
133,100717,"18091010",5122,"residential","790th Avenue",,"B",0,0,"F","F",1,476718.463283926,4852120.7090264
134,100807,"18091113",5122,"residential","780th Avenue",,"B",0,0,"F","F",1,475104.250869483,4852188.54669042
135,101580,"18092152",5115,"tertiary","325th Street","CR 35","B",88,0,"F","F",1,473771.64026707,4852259.58938892
136,307226,"115836013",5122,"residential","310th Street",,"B",0,0,"F","F",1,472692.265934024,4850113.16020783
137,307317,"115927260",5115,"tertiary","290th Street","CR 95","B",0,0,"F","F",1,463223.533708676,4846965.63318776
138,101354,"18091824",5122,"residential","730th Avenue",,"B",0,0,"F","F",1,467125.413718596,4854158.93551131
139,102302,"18093058",5122,"residential","675th Avenue",,"B",0,0,"F","F",1,458144.832991886,4823634.5809
140,307141,"115759382",5122,"residential","830th Avenue",,"B",0,0,"F","F",1,483088.730776013,4822359.77057455
141,307141,"115759382",5122,"residential","830th Avenue",,"B",0,0,"F","F",1,483091.367707438,4822772.29426713
142,101279,"18091704",5121,"unclassified","840th Avenue",,"B",0,0,"F","F",1,484705.166507525,4819249.10917355
143,101279,"18091704",5121,"unclassified","840th Avenue",,"B",0,0,"F","F",1,484704.847732183,4819642.87325124
144,100912,"18091244",5122,"residential","270th Street",,"B",0,0,"F","F",1,468760.862506012,4843699.56435061
145,100894,"18091218",5122,"residential","315th Street",,"B",0,0,"F","F",1,451890.496996595,4851092.75159244
146,298141,"81140392",5115,"tertiary","740th Avenue","CR 20","B",0,0,"F","F",1,468666.434621634,4852467.55161934
147,103040,"18093949",5115,"tertiary","625th Avenue","CR 2","B",0,0,"F","F",1,450035.378874083,4820204.18289861
148,307150,"115760512",5122,"residential","130th Street",,"B",0,0,"F","F",1,447876.302819574,4821329.72988454
149,101718,"18092334",5115,"tertiary","220th Street","CR 74","B",0,0,"F","F",1,462878.668451394,4835664.73690335
150,101460,"18091986",5122,"residential","117th Street",,"B",0,0,"F","F",1,475012.957541427,4819496.93553185
151,317386,"135840240",5115,"tertiary","4th Street Northwest","CR 45","B",0,0,"F","F",1,501652.606015885,4837943.35199823
152,317335,"135825987",5113,"primary",,"US 218","F",88,0,"F","F",1,500639.315601297,4838071.59625753
153,163742,"18166146",5115,"tertiary","515th Avenue","CR 25","B",0,0,"F","F",1,498408.31774202,4839328.44051636
154,100783,"18091086",5122,"residential","890th Avenue",,"B",0,0,"F","F",1,492793.061230846,4848568.52440388
155,101446,"18091971",5122,"residential","900th Avenue",,"B",0,0,"F","F",1,494413.13025695,4850969.86336425
156,100783,"18091086",5122,"residential","890th Avenue",,"B",0,0,"F","F",1,492795.579228781,4849781.29326516
157,101291,"18091717",5114,"secondary","State Highway 251","MN 251","B",0,0,"F","F",1,477091.706305158,4845289.65525742
158,307238,"115836620",5122,"residential","800th Avenue",,"B",0,0,"F","F",1,478218.978843826,4846101.30385902
159,103031,"18093939",5122,"residential","870th Avenue",,"B",0,0,"F","F",1,489569.258361937,4845842.14107212
160,102099,"18092813",5122,"residential","860th Avenue",,"B",0,0,"F","F",1,487966.585024468,4844525.27605142
161,101047,"18091408",5122,"residential","290th Street",,"B",0,0,"F","F",1,482535.765722762,4846927.24067016
162,100330,"18090459",5115,"tertiary","260th Street","CR 104","B",0,0,"F","F",1,486606.056994033,4842125.67487337
163,101077,"18091443",5122,"residential","640th Avenue",,"B",0,0,"F","F",1,452444.28118954,4818046.29475058
