cat,system_cod,type,segment_na,map_label,bottom_wid,tile_dim,tile_mater,source,side_slope,grade,buffer_rig,buffer_lef,buffer_req,easement,easement_w,easement_1,constructi,construc_1,construc_2,notes,SHAPE_Leng
23,"CCD57","Open","Clay Co. Ditch No. 57","Main",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,3469.3945388
24,"CCD54","Open","Clay Co. Ditch No. 54","Main",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,3445.15258695
25,"CCD67","Open","Clay Co. Ditch No. 67","Main",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,1121.2909207
26,"CCD9","Open","Clay Co. Ditch No. 9","Main",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,10964.8406994
27,"WCD15","Open","Wilkin Co. Ditch No. 15","Main",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,4546.82389305
28,"WCD1B","Open","Wilkin Co. Ditch No. 1B","Main",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,11622.1767476
29,"WCD26","Open","Wilkin Co. Ditch No. 26","Main",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,3635.14521831
30,"WCD27","Open","Wilkin Co. Ditch No. 27","Main",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,8061.54336533
31,"WCD34","Open","Wilkin Co. Ditch No. 33","Main",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,4312.22601522
32,"WCD37","Open","Wilkin Co. Ditch No. 37","Main",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,10549.3436978
