root,chain
358,[358]
359,"[359, 360]"
360,"[359, 360]"
361,"[450, 451, 361, 314, 199, 354, 210]"
362,"[362, 311, 315, 453, 316]"
363,"[54, 363, 51]"
364,[364]
365,"[483, 365]"
366,"[330, 498, 366, 497]"
367,[367]
368,"[368, 179, 205, 459]"
369,"[352, 369]"
370,[370]
371,"[135, 136, 427, 137, 371, 431, 356]"
372,"[142, 372, 143]"
373,[373]
374,[374]
375,[375]
376,[376]
377,[377]
378,[378]
379,[379]
380,[380]
381,[381]
382,[382]
383,[383]
384,[384]
385,[385]
386,[386]
387,[387]
388,[388]
389,[389]
390,[390]
391,[391]
392,[392]
393,[393]
394,[394]
395,[395]
396,[396]
397,[397]
398,[398]
399,[399]
400,[400]
401,[401]
402,[402]
403,[403]
404,[404]
405,[405]
406,[406]
407,[407]
408,[408]
409,[409]
410,[410]
411,[411]
412,[412]
413,[413]
414,[414]
415,[415]
416,[416]
417,[417]
418,[418]
419,[419]
420,[420]
421,[421]
422,[422]
423,"[503, 423]"
424,[424]
425,"[125, 127, 425, 426, 131, 133]"
426,"[125, 127, 425, 426, 131, 133]"
427,"[135, 136, 427, 137, 371, 431, 356]"
428,"[138, 139, 428]"
429,"[429, 430, 141, 144, 146, 147]"
430,"[429, 430, 141, 144, 146, 147]"
431,"[135, 136, 427, 137, 371, 431, 356]"
432,"[432, 433]"
433,"[432, 433]"
434,[434]
435,"[148, 435]"
436,"[437, 436]"
437,"[437, 436]"
438,"[438, 439, 440]"
439,"[438, 439, 440]"
440,"[438, 439, 440]"
441,"[441, 308]"
442,[442]
443,"[443, 26]"
444,"[444, 171]"
445,[445]
446,[446]
447,[447]
448,"[448, 449]"
449,"[448, 449]"
450,"[450, 451, 361, 314, 199, 354, 210]"
451,"[450, 451, 361, 314, 199, 354, 210]"
452,"[452, 197]"
453,"[362, 311, 315, 453, 316]"
454,"[454, 455]"
455,"[454, 455]"
456,"[456, 319]"
457,"[457, 56]"
458,"[458, 151]"
459,"[368, 179, 205, 459]"
460,[460]
461,"[493, 300, 484, 461]"
462,"[462, 279]"
463,[463]
464,"[349, 464]"
465,[465]
466,[466]
467,"[494, 467]"
468,[468]
469,"[238, 469]"
470,"[470, 471, 243, 242, 324]"
471,"[470, 471, 243, 242, 324]"
472,"[490, 472]"
473,"[473, 325]"
474,[474]
475,"[475, 477, 343]"
476,[476]
477,"[475, 477, 343]"
478,[478]
479,[479]
480,"[269, 480]"
481,[481]
482,"[509, 510, 332, 281, 346, 347, 501, 507, 508, 482]"
483,"[483, 365]"
484,"[493, 300, 484, 461]"
485,"[485, 328, 268]"
486,[486]
487,[487]
488,[488]
489,[489]
490,"[490, 472]"
491,[491]
492,[492]
493,"[493, 300, 484, 461]"
494,"[494, 467]"
495,"[495, 496]"
496,"[495, 496]"
497,"[330, 498, 366, 497]"
498,"[330, 498, 366, 497]"
499,[499]
500,[500]
501,"[509, 510, 332, 281, 346, 347, 501, 507, 508, 482]"
502,"[502, 271]"
503,"[503, 423]"
504,"[504, 1]"
505,"[505, 212]"
506,"[350, 506, 342]"
507,"[509, 510, 332, 281, 346, 347, 501, 507, 508, 482]"
508,"[509, 510, 332, 281, 346, 347, 501, 507, 508, 482]"
509,"[509, 510, 332, 281, 346, 347, 501, 507, 508, 482]"
510,"[509, 510, 332, 281, 346, 347, 501, 507, 508, 482]"
511,"[511, 299]"
