cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
340,132862,"18130615",5115,"tertiary","County Highway 59","CR 59","B",0,0,"F","F",1,246221.570042897,5000820.16133437
341,131491,"18128922",5121,"unclassified","200th Street",,"B",0,0,"F","F",1,242588.28641078,4968272.76376985
342,578396,"760038371",5142,"track","230th Street",,"B",0,1,"T","F",1,235020.93804005,4987773.38232096
343,578398,"760038373",5113,"primary","State Highway 40","MN 40","B",0,1,"T","F",1,234076.042007198,4989431.10754353
344,131114,"18128487",5122,"residential","341st Avenue",,"B",0,0,"F","F",1,266111.621039461,4975741.25729529
345,273980,"18299699",5122,"residential","260th Avenue",,"B",0,0,"F","F",1,262621.015210734,4962383.27106468
346,398670,"264400622",5122,"residential","250th Avenue",,"B",0,0,"F","F",1,263153.604225146,4960766.86415874
347,273980,"18299699",5122,"residential","260th Avenue",,"B",0,0,"F","F",1,263799.512086377,4962369.37486301
348,132378,"18130025",5121,"unclassified","County Road 71","CR 71","B",0,0,"F","F",1,266762.677372768,4968805.04317239
349,132378,"18130025",5121,"unclassified","County Road 71","CR 71","B",0,0,"F","F",1,266769.223210634,4968908.42144543
350,131909,"18129456",5122,"residential","120th Street North",,"B",0,0,"F","F",1,270834.410632119,4968600.93864357
351,131534,"18128967",5122,"residential","355th Avenue",,"B",0,0,"F","F",1,268641.035277575,4974589.67713239
352,131005,"18128352",5115,"tertiary","County Road 59","CR 59","B",0,0,"F","F",1,246483.856774296,5007232.33266537
353,131523,"18128956",5122,"residential","180th Street",,"B",0,0,"F","F",1,277494.022166622,4978015.77645907
354,273019,"18298462",5122,"residential","300th Avenue",,"B",0,0,"F","F",1,284512.315879909,4968143.90295836
355,273903,"18299609",5122,"residential","380th Street",,"B",0,0,"F","F",1,271465.432928322,4965199.79344435
356,274396,"18300181",5122,"residential","350th Street",,"B",0,0,"F","F",1,266565.263235077,4963447.27306415
357,274131,"18299872",5122,"residential","310th Street",,"B",0,0,"F","F",1,260241.572244289,4965162.50665103
358,949915,"1365460246",5122,"residential","381st Avenue",,"B",0,1,"T","F",1,272693.371053218,4977942.30776247
359,132172,"18129778",5122,"residential","140th Street",,"B",0,0,"F","F",1,271792.431875169,4971812.25531355
360,578801,"760602814",5141,"service",,,"B",0,0,"F","F",1,265714.834737572,4981857.85773287
361,132341,"18129982",5122,"residential","T-143",,"B",0,0,"F","F",1,249018.869568603,4968831.23978896
362,133079,"18130882",5122,"residential","T-155",,"B",0,0,"F","F",1,249765.765568383,4969430.05850779
363,132578,"18130271",5141,"service","286th Street",,"B",0,0,"F","F",1,258640.105505919,4995617.048169
364,131486,"18128915",5121,"unclassified","200th Street",,"B",0,0,"F","F",1,276665.933711254,4981323.3106761
365,273146,"18298706",5122,"residential","420th Avenue",,"B",0,0,"F","F",1,278287.204176382,4974580.88122939
366,369698,"188893588",5122,"residential","470th Street",,"B",0,0,"F","F",1,286148.902513648,4971064.15388133
367,131201,"18128589",5122,"residential","351st Avenue",,"B",0,0,"F","F",1,267755.12939885,4977465.25404179
368,510508,"692310439",5122,"residential","Elevator Road",,"B",0,0,"F","F",1,242060.066770076,5003241.93399578
369,131309,"18128711",5122,"residential","371st Avenue",,"B",0,0,"F","F",1,270978.709779062,4976118.69094244
370,131289,"18128689",5122,"residential","381st Avenue",,"B",0,0,"F","F",1,272640.769855947,4976954.93499188
371,132512,"18130185",5115,"tertiary","331st Avenue","CR 27","B",0,0,"F","F",1,264818.63518733,4981735.02129451
372,274040,"18299767",5122,"residential","330th Avenue",,"B",0,0,"F","F",1,288760.783298951,4972860.95788384
373,132442,"18130099",5115,"tertiary","County Highway 35","CR 35","B",0,0,"F","F",1,273338.148260196,4970353.36621042
374,132816,"18130557",5115,"tertiary","County Highway 29","CR 29","B",0,0,"F","F",1,269912.864060594,4966540.41528193
375,274434,"18300226",5122,"residential","340th Street",,"B",0,0,"F","F",1,264892.71657534,4960952.69239014
376,274361,"18300142",5122,"residential","T-1",,"B",0,0,"F","F",1,241803.872985158,4966517.74900649
377,920328,"1305797893",5141,"service",,,"B",0,1,"T","F",1,241795.107437424,4964125.3427502
378,131005,"18128352",5115,"tertiary","County Road 59","CR 59","B",0,0,"F","F",1,246447.300122694,5008041.51796294
379,131122,"18128496",5122,"residential","170th Street",,"B",0,0,"F","F",1,264522.723840599,4976905.21511033
380,131403,"18128817",5122,"residential","256th Street",,"B",0,0,"F","F",1,250213.142893057,4990714.13284323
381,131094,"18128465",5122,"residential","210th Street",,"B",0,0,"F","F",1,242099.793364711,4984258.90897749
382,923411,"1307968001",5121,"unclassified","County Highway 55","CR 55","B",0,0,"F","F",1,242295.542744945,4984113.45439041
383,133017,"18130804",5121,"unclassified","County Highway 14","CR 14","B",0,0,"F","F",1,240918.277717386,4985899.28200544
384,132746,"18130472",5113,"primary","291st Avenue","MN 119","B",0,0,"F","F",1,258466.022558493,4984305.3819206
385,131251,"18128645",5121,"unclassified",,,"B",0,0,"F","F",1,254444.01463023,4985372.69568948
386,273019,"18298462",5122,"residential","300th Avenue",,"B",0,0,"F","F",1,280254.615964075,4968232.85280939
387,274564,"18300376",5122,"residential","430th Street",,"B",0,0,"F","F",1,279536.1111974,4965897.6965433
388,131160,"18128541",5122,"residential","120th Street North",,"B",0,0,"F","F",1,269705.947008165,4968651.74101163
389,132055,"18129619",5122,"residential","355th Avenue",,"B",0,0,"F","F",1,268412.691104465,4969047.046242
390,274373,"18300156",5122,"residential","360th Street",,"B",0,0,"F","F",1,268125.245735133,4962243.856093
391,273980,"18299699",5122,"residential","260th Avenue",,"B",0,0,"F","F",1,268124.543845313,4962243.18248745
392,503182,"664021817",5122,"residential","100th Street",,"B",0,0,"F","F",1,269072.103348584,4965457.37811001
393,131334,"18128739",5122,"residential",,,"B",0,0,"F","F",1,259962.157159119,4990026.48328014
394,132131,"18129722",5122,"residential",,,"B",0,0,"F","F",1,264863.125822735,4991440.2465291
