from_cat,to_x,to_y,dist
8731,338387.179163331,5037586.99992244,1.64656612679949
13955,339583.209641657,5045380.39856663,0.212924003881405
14076,338047.857380783,5046085.66704749,3.84936341649133
14094,337282.284256282,5048509.99956695,1.58831421967071
14117,345929.165746047,5044290.40012899,1.91925839442876
15135,336984.747691178,5038446.32787818,0.367691744064065
15702,346664.629855924,5038877.45502067,2.27214959260754
17760,346202.874858386,5038775.20571786,3.30112060537482
17761,344596.434185421,5038681.98712055,1.46099879397055
17885,343137.457917869,5042277.79856566,0.560857221970371
18610,337232.951312219,5044311.91668569,0.544029196124317
19011,340230.355042548,5046832.77721808,1.29630318819545
19850,341308.800031185,5048413.15255391,0.495163495270338
20807,366420.5375392,5019003.77363714,4.50951518351567
21301,340609.617311926,5037612.98780491,2.8469725783139
21302,343039.328988686,5038620.07984666,1.06655707401464
21453,335508.195452364,5050520.43618437,2.69703906561088
22014,328332.777543544,5053545.68492166,1.15480220163727
23387,338639.94240116,5037622.94981852,1.07371803546967
23920,337133.555924194,5050760.45754846,1.06765753753562
23921,337151.196137061,5051132.2989323,2.32375912053496
23995,342282.567628328,5049971.68005216,2.19116754761485
24265,339645.827711972,5046042.10394789,2.04410088617412
24266,341730.730714642,5048990.19148629,0.267056749834207
