from_cat,to_x,to_y,dist
765,422968.24240507,4855462.67776934,0.587521357406791
801,400502.988686331,4860603.02624327,0.990827577864731
813,398731.916138327,4855759.68621952,0.69722167699541
2744,427101.248770476,4845686.23812149,0.311634310019136
2751,418618.195747882,4825979.70622953,2.19387507126599
2752,416918.120160436,4819864.08532539,3.06950016301415
2753,423418.474832057,4822958.08200038,0.768800651714546
2756,399253.497364353,4826489.13285457,0.289155099882181
2757,403115.735640322,4825101.87800725,0.893512321744867
2758,426975.353414555,4848681.69252576,1.53625925511302
2760,427388.134116768,4846510.82633835,4.81004116049154
2761,418514.591140438,4819430.17206285,1.45551180569818
2763,402393.093166195,4819381.97287338,5.8075305943624
2770,416966.477547262,4823919.49286554,20.4126429928402
2771,436359.3438,4825223.7266,11.2154331703573
2784,420195.11891109,4823394.69443698,1.47327911253707
2789,426623.73146731,4819939.13116538,1.43489325463041
2790,422489.989196947,4819990.09824426,1.49499776179676
2791,422202.254715044,4853784.11889381,2.13740756762002
2792,422549.705372637,4852169.01346835,6.4671999653999
2800,420114.831202184,4817180.60618399,0.423289143244672
2801,416947.478855384,4821741.64792342,1.2714105795872
2803,415427.939178027,4823315.19399295,3.97283634730101
2804,440095.821,4836219.481,1.85837482640157
2811,401267.895503177,4818693.84561969,3.76318236839122
2812,405326.474981428,4827020.0109544,19.3546215064823
2813,418914.614146313,4818430.65912267,1.52313029124344
2814,441372.571916221,4839128.07960542,5.50631807711303
2815,420099.82232575,4821636.38740991,1.09081608478395
2816,421817.987589789,4824029.56617063,0.925841006573896
2817,400970.102085624,4832509.20916469,0.173332377260618
2818,406430.416664733,4820215.45031579,0.971670389779343
2821,421778.483694307,4820806.59934652,2.89282383243168
2826,413793.205378588,4825627.03747382,1.33247347910121
2828,420596.4969,4816806.0701,10.1697718955937
2833,420177.347713901,4821534.28772579,0.0192874299537039
2836,408918.39604387,4824637.63489581,6.96529858558796
2847,406892.217035251,4829860.21160889,0.776938261640775
2848,413033.620185722,4826547.11863231,0.970033723963881
2896,423818.572704418,4821583.04777314,0.690392901911037
2897,407929.982198945,4821803.69136238,1.89835750813629
2900,423796.632733586,4851126.89136532,0.0343663560313501
2902,430334.315739093,4818283.72457903,12.0402594958241
2906,421422.344598384,4854894.54203938,7.45761730875293
2907,414554.092171545,4832178.26018628,4.16044565089137
2909,416268.313941405,4849014.68727524,1.38558472722528
2910,416932.893166821,4821344.16631389,6.05377628471031
2911,420042.8174,4832892.6344,1.46003408166544
2913,428898.832925135,4818300.00192081,19.4846505718711
2922,413660.860500936,4818332.65281993,6.02636344644735
2923,402437.190059405,4823505.26097025,0.719443753042914
2926,427469.754526472,4840833.92169117,1.10587368672775
2927,437919.5819,4822624.8663,12.9671058338711
2929,426590.802783501,4819365.275739,4.86751486127503
2930,426588.249,4819047.9544,2.91939999908209
2934,417877.7759,4830077.6384,3.07631490008572
2936,418362.569791569,4826476.05578121,1.06166758175488
2937,420237.942583587,4825674.07149855,4.99550825382862
2939,426780.288655242,4832323.72993506,1.50117980175042
2940,417832.831,4827058.2319,2.57489999942482
2941,436906.505452246,4824659.23299921,1.48045598444822
2942,426801.212101396,4824769.2921658,1.71395714511924
2943,429867.074428349,4823493.98366773,6.02753885816588
2945,418589.672031065,4823989.50329239,0.464642379020157
2946,418566.400950334,4822821.00685381,2.6609823146992
2947,399311.208984976,4817106.02680145,1.54505619831638
2948,407247.739763453,4820912.05565383,1.16240177539668
2949,404869.904692379,4826684.33982919,1.66715261421828
2950,425362.3965,4847321.772,1.55750000011176
2951,404107.759688558,4826289.69229807,1.38515443004644
2953,400813.118398703,4822457.22259641,0.697078815596194
2954,416246.4369,4820075.179,0.0389000000432134
2955,425009.227825671,4821168.19726994,2.7925726895177
2956,425030.358569599,4822815.48759809,0.931319400837479
