cat,a_cat,a_LINEARID,a_FULLNAME,a_RTTYP,a_MTFCC,b_cat,to_x,to_y
80,5,"1105576056886","Old US Hwy 14","U","S1400",1,442217.240048694,4885027.41770694
81,1840,"110376908352","Co Rd 15","C","S1400",1,465240.150022001,4870797.55235918
82,1033,"110376909344","295th Ave","M","S1400",1,465240.150022001,4870797.55235918
83,1023,"110376909217","170th St","M","S1400",1,465787.556219746,4870231.42968213
84,438,"110376909269","230th Ave","M","S1200",1,461619.030228399,4859955.41686776
85,707,"1105598256903","140th St","M","S1200",1,460927.495098103,4860250.83251578
86,1221,"110376908415","State Hwy 30","S","S1200",1,461619.030228399,4859955.41686776
87,2290,"110376909271","230th St","M","S1200",1,447233.453485613,4860044.99672394
88,485,"110376908989","55th St","M","S1400",1,447197.945873825,4860083.62984846
89,335,"110376909018","70th St","M","S1400",1,449595.474028708,4858007.28820999
90,1748,"110376908475","Co Rd 59","C","S1400",1,452796.785488307,4856092.84633021
91,2299,"110376908406","Co Rd 28","C","S1400",1,452812.252165241,4855977.56039854
92,2303,"110376909265","220th Ave","M","S1400",1,463500.91226814,4858332.40510279
93,438,"110376909269","230th Ave","M","S1200",1,463548.000223177,4859943.30554107
94,1221,"110376908415","State Hwy 30","S","S1200",1,463548.000223177,4859943.30554107
95,887,"1106087328131","Co Rd 33","C","S1400",1,446582.333206043,4882985.06554848
96,278,"1106087328137","W Elysian Lake Rd","M","S1400",1,442154.691134674,4886188.60548249
97,881,"110376908254","Co Rd 2","C","S1400",1,452785.863671854,4880953.00898512
98,1967,"110376908463","Co Rd 54","C","S1400",1,440906.560183873,4880727.91819989
99,306,"110376908456","Co Rd 54","C","S1400",1,442064.866524439,4882625.5864522
100,1966,"110376909423","360th Ave","M","S1400",1,440821.601147392,4881011.84500439
101,1177,"110376908903","15th St","M","S1400",1,440906.560183873,4880727.91819989
102,1221,"110376908415","State Hwy 30","S","S1200",1,445978.863192356,4860051.83010181
103,299,"110376909924","W Elysian Lake Rd","M","S1400",1,442024.365159068,4889063.99459494
104,690,"110376908369","Co Rd 18","C","S1400",1,442024.365159068,4889063.99459494
105,406,"110376910801",,,"S1400",1,442026.598203256,4889057.60804399
106,1287,"110376908899","15th St","M","S1400",1,440987.800020807,4889915.3235949
107,913,"110376911327",,,"S1400",1,465869.317225572,4886904.14785216
108,1966,"110376909423","360th Ave","M","S1400",1,456241.78974844,4880936.84439892
109,1966,"110376909423","360th Ave","M","S1400",1,452785.863671854,4880953.00898512
110,1308,"110376908493","Co Rd 63","C","S1400",1,465787.556219746,4870231.42968213
111,444,"1106061149204","155th St","M","S1400",1,463407.535400928,4873473.67618656
112,315,"110376908959","30th St","M","S1400",1,443330.1979034,4881815.1254311
113,5,"1105576056886","Old US Hwy 14","U","S1400",1,453356.219471217,4882728.5452446
114,2142,"1105575088912","95th St","M","S1400",1,453790.708370705,4882847.33709661
115,2520,"1106087381132","Co Rd 14","C","S1400",1,438333.523980698,4861366.94670953
116,878,"1105061314105","631st Ave","M","S1400",1,438333.523980698,4861366.94670953
117,24,"110376909758","Broadway Ave S","M","S1400",1,460333.933119154,4859982.81396096
118,932,"110376909055","90th St","M","S1400",1,452796.785488307,4856092.84633021
119,1221,"110376908415","State Hwy 30","S","S1200",1,447233.453485613,4860044.99672394
120,1966,"110376909423","360th Ave","M","S1400",1,440638.252022296,4881014.329929
121,2156,"1108296484197","US Hwy 14","U","S1100",1,454810.764573763,4878654.25128831
122,2015,"110376908411","Co Rd 28","C","S1400",1,443962.725949289,4857412.21278706
123,1712,"1105576423001","US Hwy 14","U","S1200",1,453314.730936515,4882665.08264084
124,1218,"110376908315","Co Rd 11","C","S1400",1,449595.474028708,4858007.28820999
125,931,"1108311669512","205th Ave","M","S1400",1,452812.272182484,4855977.56018639
126,1712,"1105576423001","US Hwy 14","U","S1200",1,442186.356822974,4884515.10037712
127,1175,"110376909454","380th Ave","M","S1400",1,442170.908764339,4884243.81327218
128,881,"110376908254","Co Rd 2","C","S1400",1,440821.601147392,4881011.84500439
129,1983,"110376909646","Snake Trl","M","S1400",1,466004.628547661,4886104.70452782
130,881,"110376908254","Co Rd 2","C","S1400",1,456241.78974844,4880936.84439892
131,1341,"110376908401","Co Rd 27","C","S1400",1,456201.181177925,4880836.31228521
132,1250,"1105575089250","Co Rd 52","C","S1400",1,453790.708370705,4882847.33709661
133,6,"1103691346031","Old Hwy 14","M","S1400",1,453356.238760454,4882728.53974398
134,1801,"1105575767131",,,"S1640",1,442185.428465887,4884505.0203695
135,1977,"1105577549613","US Hwy 14","U","S1200",1,442183.581109887,4884485.38680696
