from_cat,cat
1,76
2,99
3,83
4,30
5,30
8,85
9,97
10,70
12,10
13,44
14,17
15,89
16,15
17,91
19,26
20,13
21,96
22,70
24,87
25,84
28,66
29,83
31,63
32,67
34,42
35,73
36,72
37,59
38,10
39,88
40,29
41,100
45,19
46,97
47,91
49,64
51,69
52,78
55,84
56,95
57,96
58,66
62,88
63,44
64,63
65,67
66,17
67,42
68,69
69,85
70,11
71,73
73,11
75,76
76,87
79,98
80,15
81,13
82,29
87,100
88,89
89,64
90,98
92,19
93,26
94,95
95,59
98,99
99,78
100,72
