cat,x,y
1,265743.60756784,4991770.30899704
2,265743.510853915,4991770.33442177
3,265723.34346776,4991772.49699934
4,265723.443299936,4991772.49120826
5,246861.407513755,4998524.99553614
6,246861.402404113,4998524.89566677
7,246859.329459161,4998484.3793822
8,246859.334568803,4998484.47925157
9,250614.601281289,4990439.67075674
10,250614.599739778,4990439.57076862
11,250615.503627474,4990396.52104835
12,250615.494859243,4990396.6206632
13,265702.941506927,4991771.93118374
14,265703.04146552,4991771.92830628
15,265723.34346776,4991772.49699934
16,265723.24397682,4991772.48692199
17,248706.031806033,5000063.01304829
18,248706.027409497,5000062.91314498
19,248703.42809376,5000018.93568746
20,248703.439319185,5000019.03505541
21,244239.693038114,5003411.01853286
22,244239.792960255,5003411.01458753
23,244259.348507485,5003410.07525324
24,244259.2487513,5003410.08223202
25,244397.330523055,5001790.10174188
26,244397.430464982,5001790.09833433
27,244411.449548624,5001790.4487648
28,244411.349836744,5001790.44117923
29,250504.771210072,4987981.5174185
30,250504.849128086,4987981.45473849
31,250523.484240675,4987966.46399525
32,250523.40632266,4987966.52667526
33,245828.033370947,4996913.62404303
34,245828.037511337,4996913.72395728
35,245829.665101156,4996953.00030378
36,245829.660960765,4996952.90038953
37,251647.204440266,4990383.15837707
38,251647.304320973,4990383.153494
39,251665.212669865,4990382.44665161
40,251665.112761415,4990382.44237356
41,249445.062007175,5005948.41379445
42,249445.15450143,5005948.37578376
43,249490.914302502,5005929.57070484
44,249490.821808247,5005929.60871554
45,265362.402437248,4991316.38768716
46,265362.482503283,4991316.44759901
47,265376.671434229,4991362.78243922
48,265376.676287968,4991362.68255708
49,247372.090691759,4989024.26941707
50,247372.190557942,4989024.27458868
51,247421.725070538,4989027.97175569
52,247421.625084368,4989027.97341872
53,235373.221365119,4994216.18070401
54,235373.230867301,4994216.08115649
55,235379.873443996,4994193.03320999
56,235379.793735516,4994193.09359673
57,272884.60807177,4995864.03367589
58,272884.674433243,4995863.95886843
59,272909.967798692,4995824.44775187
60,272909.923025255,4995824.53716853
61,273066.866654152,5002302.02506389
62,273066.919592659,5002301.94022573
63,273048.887466366,5002299.5760424
64,273048.982525576,5002299.5463226
65,270333.694418509,5000609.67041753
66,270333.685902492,5000609.57078081
67,270346.109463328,5000513.22396233
68,270346.036593544,5000513.29244587
69,270560.552086295,5000269.83239651
70,270560.61777962,5000269.75700164
71,270648.636948214,5000224.7491979
72,270648.54687141,5000224.79262795
73,256522.092355961,4996601.64546619
74,256522.089451322,4996601.54550838
75,256520.217009243,4996550.34086177
76,256520.229979291,4996550.44001709
77,257471.192564062,5001424.68579863
78,257471.292495338,5001424.68209186
79,257522.362278788,5001422.92708082
80,257522.262313377,5001422.92445089
81,256775.572165416,4998192.37367868
82,256775.521250884,4998192.28761063
83,256769.790563959,4998141.20956512
84,256769.79288796,4998141.30953811
85,245581.342490716,5003350.62719451
86,245581.346300683,5003350.72712191
87,245564.73998176,5003393.0014179
88,245564.83860399,5003392.98487536
89,244093.671654249,4990134.29911243
90,244093.57176105,4990134.30373292
91,244043.604210577,4990136.61491161
92,244043.704103779,4990136.6102912
93,234642.415204209,4989379.78119692
94,234642.420429852,4989379.88106029
95,234659.103105678,4989424.74902322
96,234659.004512551,4989424.73230809
97,238854.432369176,5003722.89896901
98,238854.474945522,5003722.80848556
99,238861.883253817,5003670.23500673
100,238861.917783462,5003670.3288561
101,238326.56930153,5005488.95920447
102,238326.591309378,5005488.86165625
103,238353.24688733,5005437.35901836
104,238353.214405552,5005437.45359602
105,237031.209674093,5008263.30964599
106,237031.251231133,5008263.21868989
107,237064.235137842,5008204.69163782
108,237064.197228476,5008204.78417365
109,255838.314785092,5000768.81865637
110,255838.395249312,5000768.75928037
111,255876.89714552,5000738.74129341
112,255876.886956572,5000738.84077298
113,245559.27219513,5009958.05039103
114,245559.274629263,5009957.95042066
115,245564.408563769,5009907.80011294
116,245564.357353779,5009907.88600553
117,246907.446311816,4988994.93195142
118,246907.546072309,4988994.93886837
119,246956.964074204,4988998.92123645
120,246956.866355998,4988998.9424768
121,250881.861093463,4997720.30953032
122,250881.761208463,4997720.31432479
123,250833.535477769,4997712.72310031
124,250833.620019555,4997712.77651086
125,250927.044725076,4999997.68610891
126,250927.040474019,4999997.58619931
127,250923.796264171,4999932.55028031
128,250923.801423401,4999932.65014713
129,235805.901042838,4991480.76561964
130,235805.98714086,4991480.7147558
131,235851.705794054,4991458.10725259
132,235851.719131031,4991458.20635923
133,262587.685236811,4988607.07061254
134,262587.78505767,4988607.06462955
135,262639.633113781,4988603.95699932
