cat,county,cat_cty
61,"LQPYB",61
64,"LQPYB",64
70,"LQPYB",70
71,"LQPYB",71
72,"LQPYB",72
73,"LQPYB",73
77,"LQPYB",77
78,"LQPYB",78
79,"LQPYB",79
82,"LQPYB",82
83,"LQPYB",83
84,"LQPYB",84
85,"LQPYB",85
87,"LQPYB",87
89,"LQPYB",89
90,"LQPYB",90
91,"LQPYB",91
92,"LQPYB",92
94,"LQPYB",94
95,"LQPYB",95
99,"LQPYB",99
100,"LQPYB",100
101,"LQPYB",101
102,"LQPYB",102
103,"LQPYB",103
104,"LQPYB",104
105,"LQPYB",105
106,"LQPYB",106
107,"LQPYB",107
108,"LQPYB",108
109,"LQPYB",109
211,"LQPYB",211
212,"LQPYB",212
213,"LQPYB",213
227,"LQPYB",227
229,"LQPYB",229
230,"LQPYB",230
231,"LQPYB",231
232,"LQPYB",232
233,"LQPYB",233
234,"LQPYB",234
235,"LQPYB",235
236,"LQPYB",236
237,"LQPYB",237
244,"LQPYB",244
245,"LQPYB",245
246,"LQPYB",246
247,"LQPYB",247
248,"LQPYB",248
250,"LQPYB",250
251,"LQPYB",251
252,"LQPYB",252
253,"LQPYB",253
254,"LQPYB",254
258,"LQPYB",258
259,"LQPYB",259
261,"LQPYB",261
262,"LQPYB",262
263,"LQPYB",263
264,"LQPYB",264
265,"LQPYB",265
266,"LQPYB",266
272,"LQPYB",272
273,"LQPYB",273
274,"LQPYB",274
275,"LQPYB",275
276,"LQPYB",276
277,"LQPYB",277
279,"LQPYB",279
280,"LQPYB",280
286,"LQPYB",286
298,"LQPYB",298
299,"LQPYB",299
300,"LQPYB",300
301,"LQPYB",301
302,"LQPYB",302
325,"LQPYB",325
326,"LQPYB",326
329,"LQPYB",329
330,"LQPYB",330
331,"LQPYB",331
341,"LQPYB",341
342,"LQPYB",342
343,"LQPYB",343
344,"LQPYB",344
345,"LQPYB",345
350,"LQPYB",350
351,"LQPYB",351
352,"LQPYB",352
353,"LQPYB",353
366,"LQPYB",366
367,"LQPYB",367
369,"LQPYB",369
370,"LQPYB",370
373,"LQPYB",373
387,"LQPYB",387
388,"LQPYB",388
389,"LQPYB",389
390,"LQPYB",390
392,"LQPYB",392
393,"LQPYB",393
394,"LQPYB",394
395,"LQPYB",395
396,"LQPYB",396
397,"LQPYB",397
400,"LQPYB",400
401,"LQPYB",401
403,"LQPYB",403
404,"LQPYB",404
405,"LQPYB",405
406,"LQPYB",406
409,"LQPYB",409
410,"LQPYB",410
411,"LQPYB",411
412,"LQPYB",412
414,"LQPYB",414
417,"LQPYB",417
418,"LQPYB",418
419,"LQPYB",419
460,"LQPYB",460
461,"LQPYB",461
462,"LQPYB",462
463,"LQPYB",463
466,"LQPYB",466
467,"LQPYB",467
468,"LQPYB",468
472,"LQPYB",472
473,"LQPYB",473
474,"LQPYB",474
475,"LQPYB",475
476,"LQPYB",476
477,"LQPYB",477
481,"LQPYB",481
482,"LQPYB",482
484,"LQPYB",484
490,"LQPYB",490
491,"LQPYB",491
492,"LQPYB",492
493,"LQPYB",493
494,"LQPYB",494
495,"LQPYB",495
496,"LQPYB",496
497,"LQPYB",497
498,"LQPYB",498
499,"LQPYB",499
501,"LQPYB",501
505,"LQPYB",505
506,"LQPYB",506
507,"LQPYB",507
508,"LQPYB",508
511,"LQPYB",511
513,"Chippewa",2
515,"Chippewa",4
594,"Chippewa",83
595,"Chippewa",84
623,"Chippewa",112
807,"Chippewa",296
895,"Chippewa",384
896,"Chippewa",385
897,"Chippewa",386
