254630.133233549,4990492.30103405
254633.594260037,4990939.47397983
254416.536825234,4991997.24475162
247945.379457706,4995429.33976822
247955.764979767,4995706.30985144
238306.637117748,4989753.04207065
238421.102393848,4989625.90024179
244955.556338216,5006014.1184617
244804.034049895,5005073.85609378
249351.781959013,4999927.21623593
252790.534879911,4997536.53556336
251858.815642653,4997528.19871588
251622.152486893,4997210.85963466
244270.297818215,5003673.08497107
244272.081733088,5003696.80131648
246347.218114034,4995835.78286752
256999.977052593,4991320.91058184
250625.861232009,4990034.70429904
265172.027593096,4991255.34280685
265165.567091715,4991081.90101426
242444.194838499,5001557.12342424
257492.86681886,4994867.07498376
256899.619158622,4994892.58333171
253691.432319745,4997962.71746561
252838.414799846,4998874.40602067
261322.977793149,4990442.73727066
261328.553109188,4990521.0018644
243599.269499709,5005578.12253039
258558.027355771,4995279.96936501
258100.423910811,4995286.75566871
265742.075475394,4991363.01402242
265749.953140165,4991522.94931078
234698.365154811,4993136.56099343
254675.459041557,5003089.15799593
254673.48054112,5003088.8674723
253987.04174881,5004362.45476883
249834.59960121,5002025.32899131
246997.173650411,5001551.13686372
247765.60250774,5001558.1822192
248199.898896482,5001420.45063577
246455.089256821,5001584.4352179
246331.664822396,5002125.74780039
246541.343914434,5002537.31111423
247276.553271419,5002509.52286161
250012.668808083,4990791.7402247
250618.9519701,4990657.0262936
253780.863376557,4994319.88170307
253700.208787782,4992563.28558012
253848.195049291,4992251.45021935
253842.247563256,4992123.81921388
253839.853266279,4992103.05065319
253838.210752225,4992083.21057527
260868.817096649,4988687.27096179
242004.262010398,5006833.64996743
241999.767244361,5006631.83008839
241986.751309754,5006302.55345667
241983.066264659,5006132.57141846
241618.677145798,5007652.58802022
241615.291019461,5007916.72507534
244627.677564059,5006830.00027021
244482.946576395,5007026.15491639
244001.776075804,5007237.78745321
243727.521998825,5007570.39617426
242592.24493149,5007898.75288706
244627.677564059,5006830.00027021
244482.946576395,5007026.15491639
243785.622726397,5006216.40632043
243687.483890002,5006221.51093181
243178.702287194,5006235.89383107
241964.643220414,5005702.01673098
241954.975671478,5005417.1251184
242004.262010398,5006833.64996743
241999.767244361,5006631.83008839
241986.751309754,5006302.55345667
241983.066264659,5006132.57141846
250935.116580286,5000181.87747059
250929.559160224,5000034.58297921
250923.497405319,4999928.95318943
250910.910851072,4999755.24764446
250561.202933555,4999754.92863199
250463.708169614,4999759.0411648
248853.774151471,4998431.85462615
248636.036323848,5000020.72707801
254195.238069658,4999636.29972101
254500.175671012,4999336.44196105
257555.109003206,4993942.90511632
257555.178443721,4993736.70886214
263007.177685555,4992271.85175952
263044.34363564,4992055.95816018
264159.950784346,4992178.35200298
263301.620079862,4993550.4574185
263329.299465917,4993810.86673813
261974.039444428,4992335.7480007
261977.175760183,4992406.06043483
261990.003729238,4992606.54175438
262015.94111174,4993075.25992124
262082.055380458,4993258.77619522
262230.610599884,4993323.84102318
262347.680532407,4993316.04942419
262464.559513137,4993287.00151642
262490.242797518,4993279.01300774
262507.610335283,4993269.13210921
262601.309972099,4993206.55990455
262614.075157047,4993199.00166534
262711.128740094,4993191.10965406
262818.031708458,4993141.26190636
236236.936728098,4992097.68213048
