from_cat,dist,cat,to_x,to_y
117,0,30,244987.4555,5123069.8775
118,0,30,245085.2295,5126733.9824
119,0,30,243495.8025,5127205.5871
120,0,30,243648.8732,5123130.5824
121,0,31,231720.8473,5139428.7709
122,0,31,227413.7932,5139623.4941
123,0,32,238561.2916,5131016.6919
124,0,32,228023.6236,5131504.2438
125,0,33,231589.0598,5134593.5164
125,4.90456781892828e-05,124,231589.059832113,5134593.51636293
126,0,33,237963.0731,5134272.4615
127,0,34,229879.8931,5133035.0064
127,3.30156637409312e-05,124,229879.893121752,5133035.00637516
128,0,34,237912.3431,5132661.4209
129,0,35,238978.9156,5127794.8309
129,0,131,238978.9156,5127794.8309
130,0,35,246645.5446,5127448.6017
131,0,36,235223.781,5166290.4729
132,0,36,230944.4579,5166085.7098
133,0,37,235249.5367,5166279.7497
134,0,37,234720.2622,5164488.9649
135,0,38,239293.4367,5167970.2613
136,0,38,237472.9315,5166596.3906
136,0.185154142462691,39,237472.922169775,5166596.20568109
137,0,39,243132.4255,5166393.9986
138,0,39,236292.5931,5166650.4234
139,0,40,242171.7103,5168038.7821
140,0,40,240559.3163,5168111.8153
141,0,41,234993.4968,5161871.9453
142,0,41,243013.636,5161566.9449
143,0,42,214321.1748,5199811.6051
144,0,42,220238.4112,5199577.3877
144,0,42,220238.4112,5199577.3877
145,0,42,220113.4685,5197596.1364
146,0,42,220967.4243,5199566.0604
147,0,43,215310.4537,5198010.9102
147,0,132,215310.4537,5198010.9102
148,0,43,217801.8187,5197899.2844
149,0,44,214503.8453,5210254.2733
150,0,44,214618.5072,5211169.6817
150,0,45,214618.5072,5211169.6817
151,0,45,64102.2555999998,5148911.4011
152,0,45,66231.8679999998,5148829.5237
153,0,45,214658.1793,5211062.9817
154,0,45,214634.981,5215111.8259
155,0,46,219562.3655,5169048.0501
155,0.211713249661991,129,219562.375,5169048.2616
156,0,46,219480.2282,5167433.9703
157,0.222894786834913,46,219561.634900859,5169038.07658428
157,0,47,219561.8572,5169038.0603
158,0,47,221613.4802,5168953.7498
159,0,48,246607.0793,5140399.7834
160,0,48,248725.2115,5122841.6143
161,0,48,248004.2957,5130611.0191
161,0,49,248004.2957,5130611.0191
162,0,49,250218.3219,5130976.4359
163,0,50,247517.092,5135490.6422
164,0,50,249481.5761,5135413.78
165,0,51,226585.4848,5137465.5517
166,0,51,227409.9896,5139623.2928
167,0,51,226803.7471,5138034.7875
167,0,52,226803.7471,5138034.7875
168,0,52,235267.2203,5138758.9333
169,0,53,230939.8379,5130546.3743
170,0,53,230821.2786,5127870.2286
171,0,54,217469.7036,5162686.5414
172,0,54,223596.9967,5157537.2617
173,0,55,227696.6583,5158958.687
174,5.08337594459504e-05,54,222979.369354795,5159171.27637675
174,0,55,222979.3694,5159171.2764
175,0,56,222011.2163,5161160.866
176,0,56,226175.5845,5161465.5443
177,0,57,222167.1606,5160832.2022
178,0,57,224518.7827,5160728.616
179,0,58,234130.0261,5129572.2187
179,0,123,234130.0261,5129572.2187
180,0,58,235893.0446,5129569.7557
181,0,59,229992.2343,5155938.0062
182,0,59,229981.8548,5155946.0875
183,0,59,227371.7661,5163521.8754
184,0,59,227360.4359,5163521.4842
185,0,59,227082.2084,5170276.5456
186,0,59,226282.1779,5163900.2068
187,0,60,234114.7959,5158665.3432
188,0,60,242148.0929,5158396.159
189,0,60,235739.37,5158590.8278
189,0,61,235739.37,5158590.8278
190,0,61,243367.2234,5156714.6719
191,0,62,236293.0567,5202073.032
192,0,62,224213.9285,5202626.2218
193,0,63,233103.7145,5202242.3731
194,0,63,234468.2138,5200585.1974
195,0,63,234485.355,5200551.3612
196,0,63,234621.1593,5200440.661
197,0,64,209864.5586,5219362.1934
198,0,64,212221.0592,5219238.7821
199,0,65,234635.9039,5210168.0955
199,0,74,234635.9039,5210168.0955
200,0,65,235453.9166,5210148.9314
201,0,66,224648.0574,5184921.2238
202,0,66,230717.4459,5183863.3123
202,0,66,230717.4459,5183863.3123
203,0,66,230717.4459,5183863.3123
203,0,66,230717.4459,5183863.3123
204,0,66,232330.3179,5183800.4515
205,0,66,228307.3602,5184782.6236
205,0,67,228307.3602,5184782.6236
206,0,67,229044.031,5183165.8394
207,0,68,234879.6771,5206148.9798
208,0,68,234942.482,5206938.6647
208,0.00510098094417831,68,234942.4821,5206938.6698
209,0.00510098094417831,68,234942.482,5206938.6647
209,0,68,234942.4821,5206938.6698
210,0.0046270078039443,68,234942.911446422,5206967.01051816
210,0,68,234942.9132,5206967.0148
211,0,68,234942.9132,5206967.0098
211,0.00354859825365369,68,234942.915699931,5206967.01231851
212,0,68,234903.2831,5206969.9942
212,0,68,234903.2831,5206969.9942
213,0,68,234903.2831,5206969.9942
213,0,68,234903.2831,5206969.9942
214,0,68,234596.8404,5206988.6963
214,0,68,234596.8404,5206988.6963
215,0,68,234596.8404,5206988.6963
215,0,68,234596.8404,5206988.6963
216,0,68,234292.2166,5207015.4949
216,0,68,234292.2166,5207015.4949
217,0,68,234292.2166,5207015.4949
217,0,68,234292.2166,5207015.4949
218,0,68,231739.3074,5207156.1699
218,0,68,231739.3074,5207156.1699
219,0,68,231739.3074,5207156.1699
219,0,68,231739.3074,5207156.1699
220,0,68,231383.931,5207163.6041
220,0,68,231383.931,5207163.6041
221,0,68,231383.931,5207163.6041
221,0,68,231383.931,5207163.6041
222,0,68,230775.2645,5207180.3691
222,0,68,230775.2645,5207180.3691
223,0,68,230775.2645,5207180.3691
223,0,68,230775.2645,5207180.3691
224,0,68,229798.0926,5207213.9763
224,0,68,229798.0926,5207213.9763
225,0,68,229798.0926,5207213.9763
225,0,68,229798.0926,5207213.9763
226,0,68,229186.9201,5207248.1234
226,0,68,229186.9201,5207248.1234
227,0,68,229186.9201,5207248.1234
227,0,68,229186.9201,5207248.1234
228,0,68,228543.2594,5207308.0757
228,0,68,228543.2594,5207308.0757
229,0,68,228543.2594,5207308.0757
229,0,68,228543.2594,5207308.0757
230,0,68,227036.2616,5208858.3943
230,0,68,227036.2616,5208858.3943
230,0.456230906654598,69,227036.4374,5208858.8153
231,0,68,227036.2616,5208858.3943
231,0,68,227036.2616,5208858.3943
231,0.456230906654598,69,227036.4374,5208858.8153
232,0,68,226962.6661,5208862.0054
232,0,69,226962.6661,5208862.0054
233,0.456230906654598,68,227036.2616,5208858.3943
233,0.456230906654598,68,227036.2616,5208858.3943
233,0,69,227036.4374,5208858.8153
234,0,69,228609.4364,5208788.6593
234,0,69,228609.4364,5208788.6593
235,0,69,228609.4364,5208788.6593
235,0,69,228609.4364,5208788.6593
236,0,69,231799.0604,5208647.5466
236,0,69,231799.0604,5208647.5466
237,0,69,231799.0604,5208647.5466
237,0,69,231799.0604,5208647.5466
238,0,69,233763.1737,5208572.6836
238,0,69,233763.1737,5208572.6836
239,0,69,233763.1737,5208572.6836
239,0,69,233763.1737,5208572.6836
240,0,69,234188.2858,5208558.6456
241,0,68,226962.6661,5208862.0054
241,0,69,226962.6661,5208862.0054
242,0,69,225414.8697,5208932.5667
242,0,69,225414.8697,5208932.5667
243,0,69,225391.0214,5208933.8163
243,0,69,225391.0214,5208933.8163
244,0,69,223827.2788,5209001.9797
244,0,69,223827.2788,5209001.9797
245,0,69,223827.2788,5209001.9797
245,0,69,223827.2788,5209001.9797
246,0,69,222603.5408,5209057.3484
246,0,69,222603.5408,5209057.3484
247,0,69,222563.9881,5209058.9357
247,0,69,222563.9881,5209058.9357
248,0,69,220150.3449,5209169.9107
248,0,69,220150.3449,5209169.9107
249,0,69,220150.3449,5209169.9107
249,0,69,220150.3449,5209169.9107
250,0,69,219335.6016,5209208.9814
251,0,69,222603.5408,5209057.3484
251,0,69,222603.5408,5209057.3484
252,0,69,222563.9881,5209058.9357
252,0,69,222563.9881,5209058.9357
253,0,69,225414.8697,5208932.5667
253,0,69,225414.8697,5208932.5667
254,0,69,225391.0214,5208933.8163
254,0,69,225391.0214,5208933.8163
255,0,70,266086.391,5204654.3137
256,0,70,266468.5461,5204190.3281
256,0,70,266468.5461,5204190.3281
257,0,70,266513.5378,5204066.1949
257,0,70,266513.5378,5204066.1949
258,0,70,268458.6588,5199128.0899
259,0,70,266468.5461,5204190.3281
259,0,70,266468.5461,5204190.3281
260,0,70,266516.4249,5204124.9459
261,0,71,229404.4093,5189588.9555
261,0.484589939664286,72,229404.425303532,5189589.43982561
262,0,71,229315.954,5187997.3922
263,0,72,227803.6573,5189651.5019
263,0,72,227803.6573,5189651.5019
264,0,72,226433.0936,5189704.967
264,0,72,226433.0936,5189704.967
265,0,72,226433.0936,5189704.967
265,0,72,226433.0936,5189704.967
266,0,72,226195.7928,5189711.678
266,0,72,226195.7928,5189711.678
267,0,72,226195.7928,5189711.678
267,0,72,226195.7928,5189711.678
268,0.0385693945871373,72,224587.711909094,5189766.57049288
268,0,72,224587.7141,5189766.609
269,0,72,234173.9675,5189327.9471
270,0,72,232585.1494,5189412.0783
270,0,72,232585.1494,5189412.0783
271,0,72,232585.1494,5189412.0783
271,0,72,232585.1494,5189412.0783
272,0,72,230973.0288,5189500.5464
272,0,72,230973.0288,5189500.5464
273,0,72,230973.0288,5189500.5464
273,0,72,230973.0288,5189500.5464
274,0,72,229405.6911,5189589.398
274,0,72,229405.6911,5189589.398
275,0,72,229405.6911,5189589.398
275,0,72,229405.6911,5189589.398
276,0,72,227803.6573,5189651.5019
276,0,72,227803.6573,5189651.5019
277,0,72,223641.1139,5189972.0849
278,0.00922734679643918,12,223834.666257754,5189798.47070517
278,0,72,223834.6703,5189798.479
278,0,72,223834.6703,5189798.479
279,0,72,224587.8313,5189766.5637
279,0.0711564906238031,72,224587.814857177,5189766.63293063
280,0.00922734679643918,12,223834.666257754,5189798.47070517
280,0,72,223834.6703,5189798.479
280,0,72,223834.6703,5189798.479
281,0,73,234643.3778,5210166.3436
282,0,73,234763.4998,5208551.853
283,0,74,219496.0099,5210808.2728
283,0,74,219496.0099,5210808.2728
284,0,74,219436.9328,5210478.4806
285,0,74,219496.0099,5210808.2728
285,0,74,219496.0099,5210808.2728
286,0,65,234635.9039,5210168.0955
286,0,74,234635.9039,5210168.0955
287,0,75,217390.1182,5165906.7015
288,0,75,221475.3224,5165724.826
289,0,75,219948.9326,5165783.6968
289,0,76,219948.9326,5165783.6968
290,0,76,219881.6752,5164345.465
291,0,77,221645.8956,5148023.5328
292,0,77,242982.3773,5154081.2742
293,0,78,242078.8783,5148676.6063
294,0,78,243110.5476,5150252.8377
295,0,79,243232.1261,5150195.9461
296,0,79,243079.2264,5146178.4791
296,0.666694738888675,124,243079.892747407,5146178.45758237
297,0,80,222980.034,5135046.3398
298,0,80,231493.4647,5134576.6573
299,6.98003567332027e-05,80,226726.506803668,5134779.9669697
299,0,81,226726.5068,5134779.9669
300,0,81,226782.3794,5136243.3663
301,0,82,214333.7803,5153286.4685
302,0,82,219025.6908,5154533.2591
303,0,83,273802.8824,5201508.0287
304,0,83,275249.2932,5202109.0482
305,0,84,274401,5197264.6322
305,2.57835471588242e-05,118,274401.000012225,5197264.6322227
306,0,84,275661.0471,5193448.4536
307,0,85,273277.2838,5208748.795
307,4.7983076039264e-06,119,273277.283795212,5208748.79500031
308,0,85,273656.1964,5208753.8249
309,0,86,273280.2162,5208794.3283
309,5.06311376674592e-05,119,273280.216250526,5208794.32829675
310,0,86,272596.8621,5208835.0419
311,0,87,272865.29,5205443.3105
311,8.51899472707759e-05,119,272865.289914824,5205443.31050154
312,0,87,273704.69,5206168.6852
313,0,88,295905.3076,5202872.8211
314,0,88,295898.3232,5203914.9609
315,0,89,291723.4715,5201236.8803
315,0,115,291723.4715,5201236.8803
316,0,89,292045.1296,5204639.1447
317,0,90,289487.9186,5204833.0328
318,0,90,289595.0669,5204478.8339
319,0,90,289778.0151,5202427.8916
320,0,90,289816.715,5202474.2567
321,0,91,297044.4761,5197332.8258
322,0,91,297095.7218,5197097.3276
323,0,92,273983.2191,5216506.8542
324,0,92,272680.7727,5214293.9852
324,0,92,272680.7727,5214293.9852
325,0,92,272680.7727,5214293.9852
325,0,92,272680.7727,5214293.9852
326,0,92,272981.073,5213234.139
327,0,92,273151.18,5214198.6303
327,0,93,273151.18,5214198.6303
328,0,93,273921.8159,5214587.384
329,0,92,272705.855,5214958.1922
329,0,94,272705.855,5214958.1922
330,0,94,270703.8945,5215146.0928
331,0,95,271700.7356,5193702.1803
332,0,95,276361.2391,5187943.2802
333,0,95,274798.5935,5189229.2953
333,0,96,274798.5935,5189229.2953
334,0,96,274455.8915,5188857.095
335,0,97,270063.8727,5190926.1958
336,0,97,271415.0168,5190669.9388
337,0,95,272913.5524,5192267.3192
337,0,97,272913.5524,5192267.3192
338,0,97,271967.4409,5190758.127
339,0,95,273659.0457,5191793.0241
339,0,98,273659.0457,5191793.0241
340,0,98,273868.3112,5193338.5739
341,0,99,243680.3902,5138081.0748
342,0,99,222927.3794,5136552.0844
343,0,99,241075.7838,5135781.464
343,0,100,241075.7838,5135781.464
344,0,100,241183.6968,5139062.5152
344,0,101,241183.6968,5139062.5152
345,0,100,241183.6968,5139062.5152
345,0,101,241183.6968,5139062.5152
346,0,101,241231.5048,5140572.1331
347,0,102,237918.9267,5132660.232
348,0,102,240963.0374,5132533.4569
348,0,103,240963.0374,5132533.4569
349,0,103,240903.5069,5130931.525
350,0,103,242682.5322,5135691.2465
351,0,104,233683.7962,5147608.0241
352,0,104,230966.466,5144287.2987
352,0,105,230966.466,5144287.2987
353,0,105,222271.5724,5144733.8469
354,0,105,231219.6883,5147458.6152
355,0,106,273343.6413,5201878.335
355,0,118,273343.6413,5201878.335
356,0,106,272674.9353,5199668.5465
357,0.972038301423502,106,273127.588590707,5201253.15290498
357,0,106,273126.617,5201253.1824
358,0,106,273586.6919,5200739.2261
359,0,107,211239.2034,5182058.1524
360,0,107,219270.3259,5181954.3941
361,0,108,213382.3927,5180520.5943
361,0.160011395101981,108,213382.391838665,5180520.75430908
362,0,108,211190.9205,5181319.7739
363,0,108,217608.7371,5180396.814
364,0.135021382999486,108,213381.864307036,5180520.61659869
364,0,108,213381.87,5180520.7515
365,0,109,221117.8969,5186710.919
366,0,109,211182.0917,5187088.2325
367,0,110,210264.8701,5216071.0327
367,0,110,210264.8701,5216071.0327
368,0,110,211599.7929,5216049.2333
368,0,110,211599.7929,5216049.2333
369,0,110,211599.7929,5216049.2333
369,0,110,211599.7929,5216049.2333
370,0,110,213146.88,5215989.3308
370,0,110,213146.88,5215989.3308
371,0,110,213146.88,5215989.3308
371,0,110,213146.88,5215989.3308
372,0,110,213447.23,5215968.9341
373,0,110,210264.8701,5216071.0327
373,0,110,210264.8701,5216071.0327
374,0,110,210169.8299,5216086.1717
375,0,111,222962.8094,5133369.1786
376,0,111,229748.9053,5133031.8215
377,0,112,210233.0163,5217696.3396
377,0,112,210233.0163,5217696.3396
378,0,112,212682.866,5217621.7356
379,0,112,210121.5835,5217854.4351
379,0,112,210121.5835,5217854.4351
380,0,112,210007.205,5217826.2885
381,0,112,210121.5835,5217854.4351
381,0,112,210121.5835,5217854.4351
382,0,112,210233.0163,5217696.3396
382,0,112,210233.0163,5217696.3396
383,0,113,235615.7008,5205361.4827
384,0,113,222139.4136,5206716.3394
385,0,114,289563.3332,5204651.1009
386,0,114,290314.3861,5204578.8869
387,0,114,292619.7601,5207996.6912
388,0,114,292078.6916,5206088.0408
389,0,114,293444.1393,5209094.8238
390,0,114,292990.3074,5208423.1566
391,0,115,295617.2021,5199829.0886
392,0,115,291008.88,5201681.1204
393,0,116,270634.3462,5205415.1322
394,0,116,270416.8994,5204344.6814
394,0.393673110168431,119,270417.019763097,5204344.30657838
395,0,117,269675.9855,5203807.0043
395,0.397982331236865,119,269675.878191945,5203807.38754264
396,0,117,271187.7962,5197449.0706
397,0,118,274399.2878,5197265.5543
397,0,118,274399.2878,5197265.5543
398,0,118,274948.1667,5195409.8011
399,0,118,272857.8869,5204946.4805
400,0,118,274399.2878,5197265.5543
400,0,118,274399.2878,5197265.5543
401,0,119,272852.2866,5204946.3093
402,0,119,273283.7521,5208988.5099
403,0,119,267005.9967,5204939.0897
404,0,119,272841.5984,5204945.7532
405,0.388299183583741,120,228063.931619011,5175318.87252457
405,0,120,228063.7685,5175319.2249
406,0,120,228073.652,5175276.5756
407,0,120,228008.1098,5176099.2254
407,0,120,228008.1098,5176099.2254
408,0,120,228045.1029,5176124.7631
409,0.604645646324653,120,224740.501541196,5176938.2004589
409,0,120,224740.6001,5176937.6039
410,0,120,227023.2475,5174222.7611
411,0,120,223733.1165,5177067.0387
412,0,120,236069.642,5173143.4701
413,0,121,230690.168,5153995.2125
414,0.0197251842988454,59,226313.086495228,5164703.30589714
414,0,121,226313.1062,5164703.305
414,0,121,226313.1062,5164703.305
414,0,121,226313.1062,5164703.305
415,0,121,229885.8059,5154038.2303
415,0,121,229885.8059,5154038.2303
415,0,121,229885.8059,5154038.2303
416,0.0197251842988454,59,226313.086495228,5164703.30589714
416,0,121,226313.1062,5164703.305
416,0,121,226313.1062,5164703.305
416,0,121,226313.1062,5164703.305
417,0.0197251842988454,59,226313.086495228,5164703.30589714
417,0,121,226313.1062,5164703.305
417,0,121,226313.1062,5164703.305
417,0,121,226313.1062,5164703.305
418,0.0197251842988454,59,226313.086495228,5164703.30589714
418,0,121,226313.1062,5164703.305
418,0,121,226313.1062,5164703.305
418,0,121,226313.1062,5164703.305
419,0,122,223922.5425,5143117.3062
420,0,122,233503.1001,5143732.11
421,0,123,232147.8243,5127380.2044
422,0,123,234187.9754,5131085.9418
423,0,124,228009.5118,5131504.4138
423,0,125,228009.5118,5131504.4138
424,0.763107388825953,79,243079.56123232,5146191.83462562
424,0,124,243080.3241,5146191.8155
425,0,124,242972.4365,5142171.2288
425,8.34294266100879e-05,124,242972.436462425,5142171.22887449
426,0,124,244488.475,5142112.0271
427,0,124,228009.5118,5131504.4138
427,0,125,228009.5118,5131504.4138
428,0,125,225411.1002,5130674.2408
429,0,126,231356.9973,5180134.7062
430,0,126,237284.0456,5176322.9529
431,0,127,209945.6769,5214853.0584
432,0,127,211672.4133,5209585.5068
433,0,128,211510.3919,5185902.2499
434,0,128,219410.2045,5183559.0663
435,0,129,219436.7925,5173048.2599
435,0,130,219436.7925,5173048.2599
436,0.211713249661991,46,219562.3655,5169048.0501
436,0,129,219562.375,5169048.2616
437,3.01408621291743e-05,47,219592.046600768,5169035.28883013
437,0,129,219592.0466,5169035.2888
438,0,129,220693.1557,5166204.5403
439,0,130,214505.0797,5173293.9156
440,0,130,222139.9439,5172932.3731
441,0,131,246803.2505,5129061.83
442,0,131,234157.2445,5125670.8975
443,0,132,219783.4501,5189993.7839
444,0,132,213406.3633,5202223.2775
