cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
120,299515,"84406674",5111,"motorway",,"I 35","F",112,0,"F","F",1,476715.474841833,4917262.58499835
121,659568,"873085459",5141,"service",,,"B",0,0,"F","F",1,471791.858587363,4930917.73934185
122,216339,"18229942",5115,"tertiary","Dent Avenue","CR 5","B",0,0,"F","F",1,471981.966656155,4930719.61767812
123,216336,"18229939",5122,"residential","Dent Avenue",,"B",0,0,"F","F",1,472133.607883238,4930717.35961833
124,236146,"18254628",5141,"service",,,"B",0,0,"F","F",1,475140.8502074,4889756.28474688
125,216854,"18230674",5122,"residential","Ableman Trail",,"B",0,0,"F","F",1,478860.817360824,4895097.64838168
126,595441,"777531964",5111,"motorway",,"I 35","F",112,0,"F","F",1,478916.507993683,4895104.00348934
127,506763,"679902376",5115,"tertiary","Texas Avenue","CR 27","B",88,0,"F","F",1,469808.788030615,4932759.54763322
128,390114,"249205530",5115,"tertiary","70th Street West","CR 2","B",88,0,"F","F",1,461590.963002173,4925991.10734945
129,214618,"18227814",5122,"residential","Douglas Avenue",,"B",0,0,"F","F",1,471581.05456309,4930953.37018377
130,238592,"18257476",5122,"residential","Northwest 62nd Avenue",,"B",0,0,"F","F",1,473878.484096344,4891487.58484809
131,877240,"1246410616",5142,"track",,,"B",0,0,"F","F",1,483660.108593573,4908302.0445897
132,216728,"18230496",5115,"tertiary","40th Street West","CR 3","B",0,0,"F","F",1,471944.436128748,4930770.07642469
133,302737,"98570947",5111,"motorway",,"I 35","F",112,0,"F","F",1,478890.596739301,4895101.0667698
