cat,county,cat_cty
11,"Chippewa",11
46,"Chippewa",46
47,"Chippewa",47
76,"Chippewa",76
96,"Chippewa",96
97,"Chippewa",97
100,"Chippewa",100
101,"Chippewa",101
102,"Chippewa",102
135,"Chippewa",135
136,"Chippewa",136
137,"Chippewa",137
138,"Chippewa",138
166,"Chippewa",166
167,"Chippewa",167
236,"Chippewa",236
237,"Chippewa",237
238,"Chippewa",238
239,"Chippewa",239
240,"Chippewa",240
241,"Chippewa",241
242,"Chippewa",242
243,"Chippewa",243
244,"Chippewa",244
245,"Chippewa",245
246,"Chippewa",246
247,"Chippewa",247
264,"Chippewa",264
285,"Chippewa",285
286,"Chippewa",286
328,"Chippewa",328
433,"Chippewa",433
447,"Chippewa",447
450,"Chippewa",450
454,"McLeod",4
455,"McLeod",5
456,"McLeod",6
463,"McLeod",13
465,"McLeod",15
466,"McLeod",16
470,"McLeod",20
480,"McLeod",30
498,"McLeod",48
510,"McLeod",60
512,"McLeod",62
530,"McLeod",80
531,"McLeod",81
532,"NFCR",1
533,"NFCR",2
534,"NFCR",3
535,"NFCR",4
536,"NFCR",5
537,"NFCR",6
538,"NFCR",7
539,"NFCR",8
540,"NFCR",9
541,"NFCR",10
542,"NFCR",11
543,"NFCR",12
544,"NFCR",13
545,"NFCR",14
546,"NFCR",15
547,"NFCR",16
548,"NFCR",17
549,"NFCR",18
550,"NFCR",19
551,"NFCR",20
552,"NFCR",21
553,"NFCR",22
554,"NFCR",23
555,"NFCR",24
556,"NFCR",25
557,"NFCR",26
558,"NFCR",27
559,"NFCR",28
560,"NFCR",29
561,"NFCR",30
562,"NFCR",31
563,"NFCR",32
564,"NFCR",33
565,"NFCR",34
566,"NFCR",35
567,"NFCR",36
568,"NFCR",37
569,"NFCR",38
570,"NFCR",39
571,"NFCR",40
572,"NFCR",41
573,"NFCR",42
574,"NFCR",43
575,"NFCR",44
576,"NFCR",45
577,"NFCR",46
578,"NFCR",47
579,"NFCR",48
580,"NFCR",49
581,"NFCR",50
582,"NFCR",51
583,"NFCR",52
584,"NFCR",53
585,"NFCR",54
586,"NFCR",55
587,"NFCR",56
588,"NFCR",57
589,"NFCR",58
590,"NFCR",59
591,"NFCR",60
592,"NFCR",61
593,"NFCR",62
594,"NFCR",63
595,"NFCR",64
596,"NFCR",65
597,"NFCR",66
598,"NFCR",67
599,"NFCR",68
600,"NFCR",69
601,"NFCR",70
602,"NFCR",71
603,"NFCR",72
604,"NFCR",73
605,"NFCR",74
606,"NFCR",75
607,"NFCR",76
608,"NFCR",77
609,"NFCR",78
610,"NFCR",79
611,"NFCR",80
612,"NFCR",81
613,"NFCR",82
614,"NFCR",83
615,"NFCR",84
616,"NFCR",85
617,"NFCR",86
618,"NFCR",87
619,"NFCR",88
620,"NFCR",89
621,"NFCR",90
622,"NFCR",91
623,"NFCR",92
624,"NFCR",93
625,"NFCR",94
626,"NFCR",95
627,"NFCR",96
628,"NFCR",97
629,"NFCR",98
630,"NFCR",99
631,"NFCR",100
632,"NFCR",101
633,"NFCR",102
634,"NFCR",103
635,"NFCR",104
636,"NFCR",105
637,"NFCR",106
638,"NFCR",107
639,"NFCR",108
640,"NFCR",109
641,"NFCR",110
642,"NFCR",111
643,"NFCR",112
644,"NFCR",113
645,"NFCR",114
646,"NFCR",115
647,"NFCR",116
