from_cat,to_x,to_y,dist
691,390769.058038702,4896155.23660406,2.1137936467908
704,390406.450237985,4895676.98481728,0.322486313285135
810,400094.787730559,4886449.88476991,4.17986453962475
822,360696.959609941,4905163.6668753,4.16124664503897
824,351422.738035336,4904927.09448618,4.34451933303612
825,351425.79842417,4904922.01625682,1.06314035946157
826,351425.79842417,4904922.01625682,1.06314035946157
835,347848.396897165,4904268.31238389,0.150499472116764
838,357837.378,4918291.4356,0.0904000010341406
843,352621.3414,4903513.387,6.22500789997143
852,377090.0049,4899642.447,0.848899999633431
882,388854.160042333,4894980.60155191,0.318828748131526
883,345743.3004,4887255.6554,3.81421715589133
884,372251.247553378,4905323.89222684,4.33613441489792
885,360080.64857421,4906377.01969027,0.566405052129878
890,355203.011104723,4917694.29391724,2.02188010941037
892,382387.092485129,4897429.23266967,3.08074731884276
893,359528.102078836,4907998.4801978,0.930201044716543
895,385071.154072054,4893028.59527984,4.51949812196268
897,359137.1036,4917626.195,0.632399999536574
898,351172.188679802,4908939.73502962,1.72017913946298
899,352778.896382116,4909741.83131994,2.24957569832965
900,356026.978629911,4910475.31223911,0.632402395844663
901,380938.094898148,4891489.09595856,2.42934701891843
903,368816.886543335,4886780.0560698,0.953538788946825
904,352909.111082873,4914538.09998944,1.56480693419126
905,372092.8336,4901313.3957,16.9931059331512
907,352469.906789162,4913786.93210278,3.9857441842063
908,352469.731630429,4913786.73942832,2.83856809959124
909,362430.006805723,4891689.51565299,3.00748529348973
7225,336819.155215386,4911230.22258868,1.91109979951226
11597,330491.659725896,4913614.17394966,0.460273927069292
11618,343911.14,4906717.8516,2.57139999978244
11619,319114.152534236,4910831.87688109,0.664352440858755
11620,314349.1347,4913991.13,0.397299999371171
11621,312787.792692123,4916380.04709066,4.88177422606614
11623,326304.244947138,4916874.43230311,1.23941842938147
11629,347952.63740971,4909923.38789057,1.55525344624489
11634,349212.80977042,4904959.9267242,1.12094253203245
11645,341553.593709468,4907922.28914905,2.66650731845692
