cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
183,232335,"18250061",5121,"unclassified","391st Avenue",,"B",0,0,"F","F",1,416634.166000612,4943416.69030764
184,231151,"18248727",5122,"residential","511th Avenue",,"B",0,0,"F","F",1,397125.46717582,4933341.30723031
185,233369,"18251229",5115,"tertiary","521st Avenue","CR 4","B",0,0,"F","F",1,395514.433496529,4934159.60837476
186,230779,"18248214",5122,"residential","401st Avenue",,"B",0,0,"F","F",1,414853.927743314,4934914.12095204
187,233705,"18251601",5122,"residential","340th Street",,"B",0,0,"F","F",1,372850.359695229,4923759.89325729
188,168723,"18172138",5122,"residential","663rd Avenue",,"B",0,0,"F","F",1,372436.121153886,4923662.2351178
189,233020,"18250839",5122,"residential","320th Street",,"B",0,0,"F","F",1,392260.096237246,4926712.0347277
190,233557,"18251442",5122,"residential","421st Avenue",,"B",0,0,"F","F",1,411887.824046777,4952105.26468673
191,233348,"18251205",5122,"residential","260th Street",,"B",0,0,"F","F",1,380323.106698901,4936494.15017437
192,232614,"18250391",5122,"residential","611th Avenue",,"B",0,0,"F","F",1,381111.995169283,4936860.75073124
193,232827,"18250621",5115,"tertiary","County Highway 3","CR 10","B",0,0,"F","F",1,381147.373236288,4938096.58488993
194,231269,"18248873",5141,"service",,,"B",0,0,"F","F",1,398974.886950388,4929296.97481568
195,209643,"18221546",5115,"tertiary","County Road 27","CR 27","B",0,0,"F","F",1,367371.630569878,4935325.46167292
196,210182,"18222182",5121,"unclassified","660th Avenue",,"B",0,0,"F","F",1,366884.534191009,4933469.79829042
197,925526,"1312297351",5115,"tertiary","County Road 27","CR 27","B",0,1,"T","F",1,367727.782046939,4932452.54265595
198,232350,"18250080",5122,"residential","250th Street",,"B",0,0,"F","F",1,371823.007336283,4938227.4819236
199,232633,"18250410",5122,"residential","520th Street",,"B",0,0,"F","F",1,370641.029487217,4937193.63361162
200,232404,"18250139",5122,"residential","280th Street",,"B",0,0,"F","F",1,375094.454776946,4933350.57659738
201,232667,"18250451",5122,"residential","565 Avenue",,"B",0,0,"F","F",1,388543.664853034,4928519.95112776
202,233269,"18251119",5122,"residential","230th Street",,"B",0,0,"F","F",1,404052.92575654,4940982.32677383
203,232944,"18250755",5122,"residential","270th Street",,"B",0,0,"F","F",1,380373.671239709,4934880.44803987
204,934798,"1332464408",5122,"residential","300th Street",,"B",0,0,"F","F",1,412586.075284384,4929636.60820682
205,232906,"18250713",5115,"tertiary","County Highway 9","CR 9","B",0,0,"F","F",1,413325.857825203,4929469.87955962
206,231398,"18249021",5122,"residential","621st Avenue",,"B",0,0,"F","F",1,379475.596165611,4934654.81852717
207,394720,"256262833",5115,"tertiary","300th Street","CR 25","B",0,0,"F","F",1,384360.66550728,4930020.20341267
208,956515,"1375660226",5122,"residential","431st Avenue",,"B",0,1,"T","F",1,410194.239571809,4929928.70905927
209,232614,"18250391",5122,"residential","611th Avenue",,"B",0,0,"F","F",1,381096.081876563,4935817.52739639
210,230790,"18248232",5115,"tertiary","236th Street",,"B",0,0,"F","F",1,409457.335148338,4940111.54724297
211,949963,"1365587140",5122,"residential","425th Avenue",,"B",0,1,"T","F",1,410944.398903005,4941337.04822832
212,233508,"18251382",5114,"secondary","631 Avenue","CR 2","B",0,0,"F","F",1,377946.899437776,4941767.87625844
213,232862,"18250661",5122,"residential","641st Avenue",,"B",0,0,"F","F",1,376354.058238333,4942487.80625753
214,230948,"18248465",5141,"service",,,"B",0,0,"F","F",1,375339.022107003,4942382.70818913
215,233519,"18251400",5115,"tertiary","651st Avenue","CR 22","B",0,0,"F","F",1,374732.896979132,4941961.87126295
216,233137,"18250968",5122,"residential","661st Avenue",,"B",0,0,"F","F",1,373136.56827905,4942228.60611306
217,232378,"18250112",5122,"residential","220th Street",,"B",0,0,"F","F",1,371955.566673794,4943044.36909065
218,411595,"318322872",5121,"unclassified","625th Avenue",,"B",0,0,"F","F",1,378687.29004275,4935759.26241303
219,232350,"18250080",5122,"residential","250th Street",,"B",0,0,"F","F",1,373882.821745933,4938206.58046943
220,232741,"18250529",5122,"residential","581st Avenue",,"B",0,0,"F","F",1,386079.992662222,4924130.30995532
221,233485,"18251357",5115,"tertiary","571st Avenue","CR 24","B",0,0,"F","F",1,387720.635471859,4923620.33746237
222,233402,"18251265",5122,"residential","591st Avenue",,"B",0,0,"F","F",1,384619.308239571,4932512.2980244
223,394717,"256262830",5113,"primary","280th Street","MN 19","B",96,0,"F","F",1,383845.605686796,4933224.22232381
224,232867,"18250667",5115,"tertiary","595 Avenue","CR 3","B",0,0,"F","F",1,383473.235268304,4934206.94285244
