root,chain
338,"[116, 132, 340, 339, 168, 338]"
339,"[116, 132, 340, 339, 168, 338]"
340,"[116, 132, 340, 339, 168, 338]"
341,[341]
342,"[342, 343]"
343,"[342, 343]"
344,"[344, 345, 346]"
345,"[344, 345, 346]"
346,"[344, 345, 346]"
347,"[347, 170]"
348,"[350, 351, 348]"
349,[349]
350,"[350, 351, 348]"
351,"[350, 351, 348]"
352,[352]
353,[353]
354,"[187, 354]"
355,[355]
356,"[356, 357]"
357,"[356, 357]"
358,[358]
359,"[359, 133]"
360,[360]
361,"[361, 362]"
362,"[361, 362]"
363,"[363, 478, 119]"
364,[364]
365,[365]
366,"[366, 367, 144, 39]"
367,"[366, 367, 144, 39]"
368,[368]
369,"[369, 38]"
370,[370]
371,"[371, 463, 89]"
372,"[372, 373]"
373,"[372, 373]"
374,[374]
375,[375]
376,[376]
377,[377]
378,"[378, 379, 142]"
379,"[378, 379, 142]"
380,"[383, 384, 141, 380]"
381,"[381, 158]"
382,"[382, 182, 184]"
383,"[383, 384, 141, 380]"
384,"[383, 384, 141, 380]"
385,[385]
386,[386]
387,"[387, 18]"
388,[388]
389,[389]
390,[390]
391,"[391, 177, 392]"
392,"[391, 177, 392]"
393,[393]
394,[394]
395,"[396, 395, 47]"
396,"[396, 395, 47]"
397,[397]
398,[398]
399,[399]
400,"[400, 122, 48]"
401,"[401, 50, 51]"
402,[402]
403,[403]
404,"[408, 409, 406, 404]"
405,[405]
406,"[408, 409, 406, 404]"
407,[407]
408,"[408, 409, 406, 404]"
409,"[408, 409, 406, 404]"
410,[410]
411,"[162, 411, 172, 196]"
412,[412]
413,"[413, 414, 85]"
414,"[413, 414, 85]"
415,[415]
416,[416]
417,[417]
418,"[418, 501, 102, 123]"
419,"[419, 421, 83]"
420,[420]
421,"[419, 421, 83]"
422,[422]
423,"[423, 424, 124, 137]"
424,"[423, 424, 124, 137]"
425,"[425, 426]"
426,"[425, 426]"
427,[427]
428,"[428, 58]"
429,"[429, 59]"
430,"[430, 60]"
431,"[63, 431, 62, 17]"
432,"[432, 433]"
433,"[432, 433]"
434,"[434, 435]"
435,"[434, 435]"
436,"[436, 437, 101]"
437,"[436, 437, 101]"
438,"[438, 439]"
439,"[438, 439]"
440,"[440, 64]"
441,[441]
442,"[442, 444, 445]"
443,[443]
444,"[442, 444, 445]"
445,"[442, 444, 445]"
446,"[126, 70, 447, 446, 92]"
447,"[126, 70, 447, 446, 92]"
448,[448]
449,"[449, 450]"
450,"[449, 450]"
451,"[451, 456, 452]"
452,"[451, 456, 452]"
453,"[453, 128]"
454,[454]
455,[455]
456,"[451, 456, 452]"
457,[457]
458,"[459, 173, 458, 460, 250]"
459,"[459, 173, 458, 460, 250]"
460,"[459, 173, 458, 460, 250]"
461,[461]
462,"[462, 482]"
463,"[371, 463, 89]"
464,[464]
465,[465]
466,"[466, 467]"
467,"[466, 467]"
468,[468]
469,"[469, 131]"
470,[470]
471,[471]
472,[472]
473,"[486, 487, 473, 313, 312, 311]"
474,[474]
475,"[325, 475]"
